Cluster-1	total=31	enrichmentScore=7.888470376061848	phaseStdDev=4.846752261410203	"rhabdomere,Vision,visual perception,Phototransduction - fly,phototransduction,deactivation of rhodopsin mediated signaling,inaD signaling complex,Sensory transductionAnnotation Cluster 1"	Enrichment Score: 7.888470376061848								
FBtr0304963	Cam-RC	2.402945	0.013115	7.8	FlyBase Cam-RC	Figure for Cam-RC							
FBtr0331356	trp-RB	1.2372	0.038189	10.8	FlyBase trp-RB	Figure for trp-RB							
FBtr0083736	cry-RA	4.887021	0	3.3	FlyBase cry-RA	Figure for cry-RA							
FBtr0082548	Cpn-RB	3.998215	0.005379	0.1	FlyBase Cpn-RB	Figure for Cpn-RB							
FBtr0080291	Rh5-RA	0.239806	0.038871	13.6	FlyBase Rh5-RA	Figure for Rh5-RA							
FBtr0078023	ninaA-RA	4.031921	0	20.5	FlyBase ninaA-RA	Figure for ninaA-RA							
FBtr0078825	rtp-RA	2.188857	0	0.2	FlyBase rtp-RA	Figure for rtp-RA							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0331960	Pkc53E-RF	1.486684	0.027401	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
FBtr0100670	norpA-RC	0.784421	0.005379	19.6	FlyBase norpA-RC	Figure for norpA-RC							
FBtr0076599	Arr2-RA	3.122032	0	23	FlyBase Arr2-RA	Figure for Arr2-RA							
FBtr0085844	faf-RC	0.78099	0.043022	20.7	FlyBase faf-RC	Figure for faf-RC							
FBtr0085450	Obp99a-RA	0.420666	0.052189	15.7	FlyBase Obp99a-RA	Figure for Obp99a-RA							
FBtr0088333	Hdc-RA	2.124631	0.008018	22.7	FlyBase Hdc-RA	Figure for Hdc-RA							
FBtr0302661	rdgA-RB	1.017723	0.039811	20.7	FlyBase rdgA-RB	Figure for rdgA-RB							
FBtr0340327	t-RB	2.124257	NOTEST	0.6	FlyBase t-RB	Figure for t-RB							
FBtr0082785	Act87E-RA	0.941714	0.039622	21.1	FlyBase Act87E-RA	Figure for Act87E-RA							
FBtr0076688	CdsA-RA	3.121981	0.008018	22.3	FlyBase CdsA-RA	Figure for CdsA-RA							
FBtr0310059	mbl-RO	3.205839	NOTEST	0.3	FlyBase mbl-RO	Figure for mbl-RO							
FBtr0084949	boss-RA	3.823085	0	23.4	FlyBase boss-RA	Figure for boss-RA							
FBtr0078508	laza-RA	1.138799	0.037102	0.1	FlyBase laza-RA	Figure for laza-RA							
FBtr0088471	trpl-RA	2.006272	0.005379	9.3	FlyBase trpl-RA	Figure for trpl-RA							
FBtr0074949	Gbeta76C-RA	3.344613	0	22.5	FlyBase Gbeta76C-RA	Figure for Gbeta76C-RA							
FBtr0087832	Galphaq-RD	1.085812	0.023884	1.1	FlyBase Galphaq-RD	Figure for Galphaq-RD							
FBtr0071909	inaD-RA	4.628145	0	23	FlyBase inaD-RA	Figure for inaD-RA							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0080182	porin-RA	1.218848	0.039622	2.6	FlyBase porin-RA	Figure for porin-RA							
FBtr0070651	norpA-RA	1.235111	0.016774	14.1	FlyBase norpA-RA	Figure for norpA-RA							
FBtr0086992	mbl-RB	1.373162	0.031588	19.6	FlyBase mbl-RB	Figure for mbl-RB							
FBtr0079797	Ggamma30A-RC	3.07207	0	8.2	FlyBase Ggamma30A-RC	Figure for Ggamma30A-RC							
FBtr0302388	CG30054-RE	1.290745	0.018529	1.2	FlyBase CG30054-RE	Figure for CG30054-RE							
													
Cluster-2	total=30	enrichmentScore=4.183930980598048	phaseStdDev=3.140621432965798	"mitochondrial translation,Ribosomal protein,Ribonucleoprotein,mitochondrial large ribosomal subunit,structural constituent of ribosome,Ribosome,translationAnnotation Cluster 2"	Enrichment Score: 4.183930980598048								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0032543~mitochondrial translation	21	3.577512777	3.41E-10	-3.059225286	0.950975564	"FBtr0071860, FBtr0072277, FBtr0070682, FBtr0301626, FBtr0081766, FBtr0089894, FBtr0081832, FBtr0111011, FBtr0086714, FBtr0089318, FBtr0085247, FBtr0082121, FBtr0083053, FBtr0079058, FBtr0079696, FBtr0302273, FBtr0082384, FBtr0072437, FBtr0078227, FBtr0075897, FBtr0072776"	463	87	10996	5.732628286	3.85E-07	3.57E-07
UP_KEYWORDS	Ribosomal protein	24	4.088586031	5.87E-07	-2.650340042	1.551204871	"FBtr0346158, FBtr0071860, FBtr0072277, FBtr0070682, FBtr0301626, FBtr0339970, FBtr0081766, FBtr0089894, FBtr0081832, FBtr0111011, FBtr0086714, FBtr0089318, FBtr0085247, FBtr0082121, FBtr0088425, FBtr0083053, FBtr0079058, FBtr0079696, FBtr0302273, FBtr0082384, FBtr0299869, FBtr0078227, FBtr0075897, FBtr0072776"	587	168	13921	3.387928936	1.28E-04	5.87E-05
UP_KEYWORDS	Ribonucleoprotein	25	4.258943782	3.37E-06	-2.45125452	1.805887087	"FBtr0346158, FBtr0070682, FBtr0301626, FBtr0081832, FBtr0111011, FBtr0085247, FBtr0302273, FBtr0299869, FBtr0076750, FBtr0072776, FBtr0071860, FBtr0072277, FBtr0339970, FBtr0089894, FBtr0081766, FBtr0086714, FBtr0089318, FBtr0082121, FBtr0088425, FBtr0083053, FBtr0079696, FBtr0079058, FBtr0082384, FBtr0078227, FBtr0075897"	587	199	13921	2.979334492	7.35E-04	1.69E-04
GOTERM_CC_DIRECT	GO:0005762~mitochondrial large ribosomal subunit	12	2.044293015	1.34E-05	-3.142816333	1.096903422	"FBtr0082121, FBtr0070682, FBtr0079058, FBtr0079696, FBtr0302273, FBtr0082384, FBtr0081832, FBtr0111011, FBtr0078227, FBtr0075897, FBtr0072776, FBtr0089318"	455	51	10026	5.184744667	0.003607372	8.83E-04
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	27	4.599659284	0.002947101	-1.878106148	3.209939416	"FBtr0346158, FBtr0070682, FBtr0301626, FBtr0081832, FBtr0111011, FBtr0082747, FBtr0082403, FBtr0085247, FBtr0310444, FBtr0302273, FBtr0299869, FBtr0072776, FBtr0071860, FBtr0072277, FBtr0339970, FBtr0089894, FBtr0081766, FBtr0086714, FBtr0089318, FBtr0082121, FBtr0088425, FBtr0083053, FBtr0079696, FBtr0079058, FBtr0082384, FBtr0078227, FBtr0075897"	425	319	9284	1.848924949	0.737369649	0.59857714
KEGG_PATHWAY	dme03010:Ribosome	16	2.72572402	0.415020395	-2.333489313	1.610068507	"FBtr0346158, FBtr0071860, FBtr0072277, FBtr0070682, FBtr0339970, FBtr0081766, FBtr0089894, FBtr0081832, FBtr0111011, FBtr0082403, FBtr0089318, FBtr0083053, FBtr0079058, FBtr0299869, FBtr0078227, FBtr0075897"	164	233	2737	1.146027426	1	0.964285714
GOTERM_BP_DIRECT	GO:0006412~translation	27	4.599659284	0.466480705	-1.779771519	3.195042355	"FBtr0346158, FBtr0070682, FBtr0301626, FBtr0081832, FBtr0111011, FBtr0082747, FBtr0082403, FBtr0085247, FBtr0310444, FBtr0302273, FBtr0299869, FBtr0339964, FBtr0071860, FBtr0072277, FBtr0339970, FBtr0089894, FBtr0081766, FBtr0086714, FBtr0089318, FBtr0082121, FBtr0088425, FBtr0083053, FBtr0079696, FBtr0079058, FBtr0082384, FBtr0078227, FBtr0075897"	463	601	10996	1.066947456	1	0.985803017
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0076750	Srp9-RA	1.680544	0.023178	2.3	FlyBase Srp9-RA	Figure for Srp9-RA							
FBtr0082403	RpL24-like-RA	2.841993	0.005379	22.2	FlyBase RpL24-like-RA	Figure for RpL24-like-RA							
FBtr0089318	mRpL13-RA	1.068393	0.040599	19.5	FlyBase mRpL13-RA	Figure for mRpL13-RA							
FBtr0085247	mRpS22-RA	0.957033	0.016774	20.1	FlyBase mRpS22-RA	Figure for mRpS22-RA							
FBtr0339964	eIF3m-RB	0.686709	0.031953	23	FlyBase eIF3m-RB	Figure for eIF3m-RB							
FBtr0072776	mRpL46-RA	1.346239	0.014377	20.4	FlyBase mRpL46-RA	Figure for mRpL46-RA							
FBtr0071860	bonsai-RA	1.332559	0.02037	20.7	FlyBase bonsai-RA	Figure for bonsai-RA							
FBtr0088425	RpLP0-like-RA	1.06811	0.03836	23.1	FlyBase RpLP0-like-RA	Figure for RpLP0-like-RA							
FBtr0081766	mRpS9-RA	1.283632	0.016774	21.3	FlyBase mRpS9-RA	Figure for mRpS9-RA							
FBtr0346158	RpS8-RF	0.73177	0.03782	0.7	FlyBase RpS8-RF	Figure for RpS8-RF							
FBtr0075897	mRpL20-RA	1.428315	0.009609	19.6	FlyBase mRpL20-RA	Figure for mRpL20-RA							
FBtr0301626	mRpS35-RA	0.792939	0.042671	21.2	FlyBase mRpS35-RA	Figure for mRpS35-RA							
FBtr0083053	mRpS10-RA	1.371518	0.023178	22	FlyBase mRpS10-RA	Figure for mRpS10-RA							
FBtr0079058	mRpL24-RA	1.526924	0.018529	22.2	FlyBase mRpL24-RA	Figure for mRpL24-RA							
FBtr0081832	mRpL1-RA	1.107196	0.031588	22.1	FlyBase mRpL1-RA	Figure for mRpL1-RA							
FBtr0070682	mRpL30-RA	1.068681	0	20.5	FlyBase mRpL30-RA	Figure for mRpL30-RA							
FBtr0089894	mRpS11-RA	0.839317	0.023884	21.5	FlyBase mRpS11-RA	Figure for mRpS11-RA							
FBtr0302273	mRpL37-RB	1.197585	0.015683	18.8	FlyBase mRpL37-RB	Figure for mRpL37-RB							
FBtr0082384	mRpL40-RA	1.992139	0.017597	21.7	FlyBase mRpL40-RA	Figure for mRpL40-RA							
FBtr0082747	Dic1-RB	1.160053	0.03836	3.1	FlyBase Dic1-RB	Figure for Dic1-RB							
FBtr0082121	mRpL47-RB	1.053492	0.026614	20.8	FlyBase mRpL47-RB	Figure for mRpL47-RB							
FBtr0072437	CG12848-RA	0.081671	0.031953	21.9	FlyBase CG12848-RA	Figure for CG12848-RA							
FBtr0111011	mRpL34-RA	0.743558	0.02037	21.9	FlyBase mRpL34-RA	Figure for mRpL34-RA							
FBtr0086714	mRpS28-RA	0.731998	0.040178	19.9	FlyBase mRpS28-RA	Figure for mRpS28-RA							
FBtr0339970	RpS23-RB	0.576329	0.03836	2	FlyBase RpS23-RB	Figure for RpS23-RB							
FBtr0310444	CG1628-RC	1.841132	0.009609	11.6	FlyBase CG1628-RC	Figure for CG1628-RC							
FBtr0078227	mRpL15-RA	0.755143	0.014377	20.9	FlyBase mRpL15-RA	Figure for mRpL15-RA							
FBtr0299869	RpL10-RC	-0.355912	0.03836	20.9	FlyBase RpL10-RC	Figure for RpL10-RC							
FBtr0079696	mRpL51-RA	1.223963	0.038189	22.1	FlyBase mRpL51-RA	Figure for mRpL51-RA							
FBtr0072277	mRpS17-RA	2.062506	0.008018	20.9	FlyBase mRpS17-RA	Figure for mRpS17-RA							
													
Cluster-3	total=11	enrichmentScore=3.816461458361706	phaseStdDev=7.17151982101318	"inaD signaling complex,response to light stimulus,calcium-mediated signalingAnnotation Cluster 3"	Enrichment Score: 3.816461458361706								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0016027~inaD signaling complex	7	1.192504259	1.50E-06	0.85465375	6.310085235	"FBtr0071909, FBtr0087832, FBtr0070651, FBtr0100670, FBtr0087047, FBtr0088471, FBtr0334836, FBtr0331356"	455	10	10026	15.42461538	4.05E-04	1.98E-04
GOTERM_BP_DIRECT	GO:0009416~response to light stimulus	7	1.192504259	1.25E-04	10.606861	6.866999065	"FBtr0080291, FBtr0087047, FBtr0083736, FBtr0088471, FBtr0334836, FBtr0331356, FBtr0070477"	463	20	10996	8.312311015	0.131296508	0.013862349
GOTERM_BP_DIRECT	GO:0019722~calcium-mediated signaling	4	0.681431005	0.018978771	10.9891282	6.068589154	"FBtr0070651, FBtr0100670, FBtr0087047, FBtr0088471, FBtr0331356"	463	14	10996	6.785560012	1	0.549879789
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0070477	per-RA	3.093835	0	12.4	FlyBase per-RA	Figure for per-RA							
FBtr0071909	inaD-RA	4.628145	0	23	FlyBase inaD-RA	Figure for inaD-RA							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0331356	trp-RB	1.2372	0.038189	10.8	FlyBase trp-RB	Figure for trp-RB							
FBtr0100670	norpA-RC	0.784421	0.005379	19.6	FlyBase norpA-RC	Figure for norpA-RC							
FBtr0083736	cry-RA	4.887021	0	3.3	FlyBase cry-RA	Figure for cry-RA							
FBtr0070651	norpA-RA	1.235111	0.016774	14.1	FlyBase norpA-RA	Figure for norpA-RA							
FBtr0080291	Rh5-RA	0.239806	0.038871	13.6	FlyBase Rh5-RA	Figure for Rh5-RA							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0088471	trpl-RA	2.006272	0.005379	9.3	FlyBase trpl-RA	Figure for trpl-RA							
FBtr0087832	Galphaq-RD	1.085812	0.023884	1.1	FlyBase Galphaq-RD	Figure for Galphaq-RD							
													
Cluster-4	total=28	enrichmentScore=3.3758367079835416	phaseStdDev=2.432878307730969	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 4"	Enrichment Score: 3.3758367079835416								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Mitochondrion	27	4.599659284	4.79E-05	-1.57035575	2.432878308	"FBtr0344013, FBtr0303846, FBtr0340673, FBtr0111011, FBtr0089944, FBtr0083663, FBtr0344849, FBtr0077168, FBtr0088176, FBtr0076974, FBtr0335205, FBtr0074216, FBtr0071860, FBtr0071883, FBtr0330615, FBtr0089497, FBtr0080994, FBtr0089318, FBtr0081890, FBtr0070907, FBtr0086126, FBtr0083053, FBtr0080182, FBtr0079696, FBtr0079058, FBtr0079413, FBtr0079532, FBtr0077830"	587	263	13921	2.434671365	0.010378472	0.001367294
UP_KEYWORDS	Transit peptide	18	3.066439523	1.63E-04	-2.069647632	2.219212329	"FBtr0071860, FBtr0303846, FBtr0071883, FBtr0330615, FBtr0089497, FBtr0111011, FBtr0080994, FBtr0081890, FBtr0070907, FBtr0086126, FBtr0079058, FBtr0079696, FBtr0077168, FBtr0079413, FBtr0088176, FBtr0079532, FBtr0077830, FBtr0076974, FBtr0335205"	587	148	13921	2.884317878	0.034955989	0.004080122
UP_SEQ_FEATURE	transit peptide:Mitochondrion	14	2.385008518	0.009546116	-2.0948862	1.815645273	"FBtr0071860, FBtr0303846, FBtr0071883, FBtr0330615, FBtr0089497, FBtr0111011, FBtr0081890, FBtr0070907, FBtr0086126, FBtr0079058, FBtr0079696, FBtr0079413, FBtr0088176, FBtr0077830, FBtr0335205"	171	116	3113	2.197116354	0.991413965	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0344013	CG5903-RB	0.824381	0.043544	0.8	FlyBase CG5903-RB	Figure for CG5903-RB							
FBtr0089944	CG9272-RA	2.036115	0	4.2	FlyBase CG9272-RA	Figure for CG9272-RA							
FBtr0089497	Gdh-RF	2.130943	0.008018	22.5	FlyBase Gdh-RF	Figure for Gdh-RF							
FBtr0089318	mRpL13-RA	1.068393	0.040599	19.5	FlyBase mRpL13-RA	Figure for mRpL13-RA							
FBtr0077168	AlaRS-m-RA	0.878841	0.03296	20.5	FlyBase AlaRS-m-RA	Figure for AlaRS-m-RA							
FBtr0070907	kdn-RA	3.517571	0	1.1	FlyBase kdn-RA	Figure for kdn-RA							
FBtr0081890	Dhod-RA	0.776192	0.042671	23.1	FlyBase Dhod-RA	Figure for Dhod-RA							
FBtr0071860	bonsai-RA	1.332559	0.02037	20.7	FlyBase bonsai-RA	Figure for bonsai-RA							
FBtr0077830	AIF-RA	0.590188	0.040404	19.1	FlyBase AIF-RA	Figure for AIF-RA							
FBtr0071883	blw-RA	0.839667	0.040404	21.2	FlyBase blw-RA	Figure for blw-RA							
FBtr0303846	CG15093-RE	1.403335	0.032438	1.6	FlyBase CG15093-RE	Figure for CG15093-RE							
FBtr0076974	MCU-RE	0.844736	0.048636	3.7	FlyBase MCU-RE	Figure for MCU-RE							
FBtr0083053	mRpS10-RA	1.371518	0.023178	22	FlyBase mRpS10-RA	Figure for mRpS10-RA							
FBtr0079058	mRpL24-RA	1.526924	0.018529	22.2	FlyBase mRpL24-RA	Figure for mRpL24-RA							
FBtr0340673	Nna1-RC	1.715628	0.021439	21.6	FlyBase Nna1-RC	Figure for Nna1-RC							
FBtr0330615	CG12895-RB	0.76719	0.039622	19.4	FlyBase CG12895-RB	Figure for CG12895-RB							
FBtr0083663	CG31229-RA	1.708218	0.017597	23.8	FlyBase CG31229-RA	Figure for CG31229-RA							
FBtr0111011	mRpL34-RA	0.743558	0.02037	21.9	FlyBase mRpL34-RA	Figure for mRpL34-RA							
FBtr0344849	Cyt-c-p-RB	2.364729	0.009609	23.1	FlyBase Cyt-c-p-RB	Figure for Cyt-c-p-RB							
FBtr0080182	porin-RA	1.218848	0.039622	2.6	FlyBase porin-RA	Figure for porin-RA							
FBtr0088176	dare-RA	2.295044	0.005379	23.1	FlyBase dare-RA	Figure for dare-RA							
FBtr0079532	Sirup-RA	1.427324	0.016774	19.5	FlyBase Sirup-RA	Figure for Sirup-RA							
FBtr0080994	mEFTs-RA	4.100212	0	20.3	FlyBase mEFTs-RA	Figure for mEFTs-RA							
FBtr0079413	mEFG1-RA	2.194826	0	19.6	FlyBase mEFG1-RA	Figure for mEFG1-RA							
FBtr0079696	mRpL51-RA	1.223963	0.038189	22.1	FlyBase mRpL51-RA	Figure for mRpL51-RA							
FBtr0074216	UQCR-14-RA	3.203238	0	21.9	FlyBase UQCR-14-RA	Figure for UQCR-14-RA							
FBtr0086126	Mccc2-RA	0.698499	0.039622	20.9	FlyBase Mccc2-RA	Figure for Mccc2-RA							
FBtr0335205	Gdh-RD	2.14675	0.011589	22.3	FlyBase Gdh-RD	Figure for Gdh-RD							
													
Cluster-5	total=25	enrichmentScore=2.8503942553803183	phaseStdDev=4.973870630576938	"CHK,Protein of unknown function DUF227,CHK kinase-like,Protein kinase-like domainAnnotation Cluster 5"	Enrichment Score: 2.8503942553803183								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00587:CHK	10	1.703577513	5.15E-04	0.4335373	4.294654704	"FBtr0084851, FBtr0079282, FBtr0082438, FBtr0290055, FBtr0084824, FBtr0073539, FBtr0114505, FBtr0076556, FBtr0084853, FBtr0084864"	246	51	5218	4.159094532	0.09514602	0.099955937
INTERPRO	IPR004119:Protein of unknown function DUF227	10	1.703577513	6.83E-04	0.4335373	4.294654704	"FBtr0084851, FBtr0079282, FBtr0082438, FBtr0290055, FBtr0084824, FBtr0073539, FBtr0114505, FBtr0076556, FBtr0084853, FBtr0084864"	534	51	10984	4.033193802	0.473389869	0.213691874
INTERPRO	IPR015897:CHK kinase-like	10	1.703577513	6.83E-04	0.4335373	4.294654704	"FBtr0084851, FBtr0079282, FBtr0082438, FBtr0290055, FBtr0084824, FBtr0073539, FBtr0114505, FBtr0076556, FBtr0084853, FBtr0084864"	534	51	10984	4.033193802	0.473389869	0.213691874
INTERPRO	IPR011009:Protein kinase-like domain	24	4.088586031	0.016481748	1.23481292	4.973870631	"FBtr0330704, FBtr0336692, FBtr0111274, FBtr0084824, FBtr0301488, FBtr0084864, FBtr0084851, FBtr0086457, FBtr0079282, FBtr0333223, FBtr0087047, FBtr0332570, FBtr0290055, FBtr0334836, FBtr0331960, FBtr0076556, FBtr0082438, FBtr0335491, FBtr0084853, FBtr0083399, FBtr0334483, FBtr0334606, FBtr0073539, FBtr0339237, FBtr0114505"	534	294	10984	1.679125583	0.99999983	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0330704	Slob-RH	1.700218	0.009609	7.7	FlyBase Slob-RH	Figure for Slob-RH							
FBtr0335491	Slob-RK	1.847579	0.008018	9.1	FlyBase Slob-RK	Figure for Slob-RK							
FBtr0339237	CG11221-RB	1.506694	0.015683	7.7	FlyBase CG11221-RB	Figure for CG11221-RB							
FBtr0333223	nmo-RH	1.403179	0.005379	10.2	FlyBase nmo-RH	Figure for nmo-RH							
FBtr0336692	Tao-RJ	1.051403	0.02585	2.6	FlyBase Tao-RJ	Figure for Tao-RJ							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0331960	Pkc53E-RF	1.486684	0.027401	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
FBtr0332570	CG4629-RE	3.285529	0	22.3	FlyBase CG4629-RE	Figure for CG4629-RE							
FBtr0086457	par-1-RH	2.139714	0.009609	1.9	FlyBase par-1-RH	Figure for par-1-RH							
FBtr0079282	CG9498-RA	2.613503	0.005379	2.9	FlyBase CG9498-RA	Figure for CG9498-RA							
FBtr0334606	gish-RM	1.099842	0.041578	6.6	FlyBase gish-RM	Figure for gish-RM							
FBtr0083399	GckIII-RA	1.288401	0.027401	23.1	FlyBase GckIII-RA	Figure for GckIII-RA							
FBtr0076556	CG5644-RA	0.864749	0.013115	21.5	FlyBase CG5644-RA	Figure for CG5644-RA							
FBtr0084864	CG10514-RA	1.010038	0.048926	23.8	FlyBase CG10514-RA	Figure for CG10514-RA							
FBtr0082438	CG6834-RA	2.70522	0.015683	5.1	FlyBase CG6834-RA	Figure for CG6834-RA							
FBtr0084824	CG31300-RA	2.436084	0.008018	21.8	FlyBase CG31300-RA	Figure for CG31300-RA							
FBtr0301488	Lkb1-RJ	1.374105	0.005379	22.9	FlyBase Lkb1-RJ	Figure for Lkb1-RJ							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0334483	bt-RI	0.639462	0.02037	15.5	FlyBase bt-RI	Figure for bt-RI							
FBtr0290055	CG31370-RB	1.099252	0.035493	8.2	FlyBase CG31370-RB	Figure for CG31370-RB							
FBtr0114505	CG10513-RB	2.634526	0.008018	1.9	FlyBase CG10513-RB	Figure for CG10513-RB							
FBtr0084853	CG10553-RA	1.771382	0.015683	21.6	FlyBase CG10553-RA	Figure for CG10553-RA							
FBtr0084851	CG10562-RA	0.931185	0.031588	1.4	FlyBase CG10562-RA	Figure for CG10562-RA							
FBtr0073539	CG1561-RB	3.675149	0	16.1	FlyBase CG1561-RB	Figure for CG1561-RB							
FBtr0111274	CG17528-RC	0.558466	0.036727	20.1	FlyBase CG17528-RC	Figure for CG17528-RC							
													
Cluster-6	total=12	enrichmentScore=2.3071579963475743	phaseStdDev=5.39316435352922	"inaD signaling complex,calmodulin binding,Calmodulin-binding,protein localizationAnnotation Cluster 6"	Enrichment Score: 2.3071579963475743								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0016027~inaD signaling complex	7	1.192504259	1.50E-06	0.85465375	6.310085235	"FBtr0071909, FBtr0087832, FBtr0070651, FBtr0100670, FBtr0087047, FBtr0088471, FBtr0334836, FBtr0331356"	455	10	10026	15.42461538	4.05E-04	1.98E-04
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	7	1.192504259	0.003964087	2.618174143	5.047710859	"FBtr0071909, FBtr0334140, FBtr0111274, FBtr0088471, FBtr0334836, FBtr0331356, FBtr0079869"	425	34	9284	4.497439446	0.834585374	0.59857714
UP_KEYWORDS	Calmodulin-binding	3	0.511073254	0.236389191	6.39552	5.228853065	"FBtr0071909, FBtr0088471, FBtr0331356"	587	22	13921	3.233932167	1	0.739086262
