geneID	symbol
FBtr0074097	CG15602-RA
FBtr0078721	CG1236-RA
FBtr0079251	Cpr-RB
FBtr0339571	Dot-RB
FBtr0088699	Acsl-RA
FBtr0334873	Cnx99A-RE
FBtr0086892	P32-RA
FBtr0335475	crol-RH
FBtr0089101	gw-RF
FBtr0072320	Adck-RA
FBtr0074385	CG4991-RA
FBtr0074895	Grasp65-RA
FBtr0082376	Ugt86De-RA
FBtr0074991	CG9666-RA
FBtr0082378	Ugt86Di-RA
FBtr0078432	Rpb8-RA
FBtr0083594	CG18600-RA
FBtr0083292	CSN5-RA
FBtr0074242	CG9911-RB
FBtr0331227	mRpL28-RB
FBtr0074563	CG6290-RA
FBtr0077646	CG17265-RA
FBtr0301912	Strumpellin-RB
FBtr0079255	CG9507-RA
FBtr0082572	GstD5-RA
FBtr0082479	CG31211-RA
FBtr0083278	CG6126-RA
FBtr0074805	pico-RB
FBtr0339954	CG16935-RB
FBtr0079095	cl-RA
FBtr0310034	CG4297-RC
FBtr0310035	CG4297-RD
FBtr0073613	CG9360-RA
FBtr0081472	CG9246-RA
FBtr0072622	CG9205-RB
FBtr0084704	CG7006-RA
FBtr0333607	CG9705-RC
FBtr0075542	fwe-RA
FBtr0346594	CG34250-RB
FBtr0305545	Mtch-RF
FBtr0344833	IRSp53-RE
FBtr0082404	ninaG-RA
FBtr0072990	CG16753-RA
FBtr0083876	Rh3-RA
FBtr0070568	CG10802-RA
FBtr0076597	CG32022-RA
FBtr0333795	DIP-alpha-RC
FBtr0084805	CG13654-RA
FBtr0073482	Tim8-RA
FBtr0342768	CG3191-RC
FBtr0084369	CenB1A-RB
FBtr0333673	CaMKII-RK
FBtr0080226	Csl4-RA
FBtr0086143	Tdc1-RA
FBtr0333155	hwt-RB
FBtr0089026	Tsp42Eh-RB
FBtr0336459	CG31145-RF
FBtr0089028	Tsp42Ei-RA
FBtr0300097	Pldn-RB
FBtr0070197	CG11378-RA
FBtr0114586	egl-RB
FBtr0084890	Tnks-RA
FBtr0078778	Mms19-RB
FBtr0072064	Pi3K59F-RA
FBtr0074528	Mvb12-RB
FBtr0070669	Nsun2-RA
FBtr0080834	CG4278-RA
FBtr0081934	CG9839-RA
FBtr0335508	CG31710-RC
FBtr0089659	Sh-RA
FBtr0113011	Wdr62-RD
FBtr0080086	CG5676-RA
FBtr0082634	trus-RA
FBtr0074847	FRG1-RA
FBtr0080125	CG7300-RB
FBtr0078507	CG11425-RA
FBtr0113694	Gfat1-RH
FBtr0082803	B52-RD
FBtr0088524	Updo-RA
FBtr0334748	Srpk79D-RM
FBtr0091785	CG33784-RA
FBtr0087869	nemy-RC
FBtr0300434	Flo2-RG
FBtr0080465	CG6523-RA
FBtr0083134	Art3-RA
FBtr0074628	CG15046-RA
FBtr0333453	Rpn10-RB
FBtr0333753	Tlk-RM
FBtr0070961	CG14438-RA
FBtr0081427	CG9336-RA
FBtr0334067	E(z)-RC
FBtr0301238	CG9249-RB
FBtr0290256	yki-RD
FBtr0113768	zyd-RA
FBtr0071251	CG1789-RA
FBtr0081016	CadN-RE
FBtr0071847	Liprin-gamma-RB
FBtr0085362	CG11842-RA
FBtr0079128	CG7277-RA
FBtr0082594	CG5641-RA
FBtr0347061	CG11241-RC
FBtr0079841	GlcAT-S-RA
FBtr0339921	eyg-RC
FBtr0335491	Slob-RK
FBtr0076273	CG6409-RA
FBtr0081087	bsf-RA
FBtr0331960	Pkc53E-RF
FBtr0088425	RpLP0-like-RA
FBtr0089050	Ady43A-RA
FBtr0300598	ATPCL-RF
FBtr0078015	dock-RC
FBtr0078787	RpII18-RA
FBtr0112922	Gasp-RB
FBtr0087678	CG6191-RA
FBtr0078995	CG14043-RA
FBtr0088227	CG12325-RA
FBtr0088228	nclb-RA
FBtr0071682	pirk-RA
FBtr0114615	l(2)05287-RB
FBtr0080937	CG17996-RA
FBtr0300276	CG6967-RC
FBtr0070777	CG15784-RA
FBtr0080117	CG17124-RA
FBtr0339432	CG13366-RE
FBtr0084107	CG3337-RA
FBtr0081468	CG9253-RA
FBtr0113101	ND-B12-RB
FBtr0334140	Pde1c-RG
FBtr0087780	CG3955-RA
FBtr0072594	dpr20-RA
FBtr0073972	pdgy-RA
FBtr0345216	gb-RB
FBtr0085329	CG14528-RA
FBtr0075023	CG6836-RA
FBtr0079164	obst-E-RB
FBtr0345602	CG6983-RB
FBtr0085320	Noa36-RA
FBtr0079603	CG14275-RB
FBtr0075457	CG5027-RA
FBtr0082417	CG18764-RA
FBtr0074615	CG6617-RA
FBtr0079807	Mco1-RA
FBtr0299698	prom-RB
FBtr0086126	Mccc2-RA
FBtr0333768	Smr-RG
FBtr0072277	mRpS17-RA
FBtr0081822	CG2767-RA
FBtr0089497	Gdh-RF
FBtr0087512	LamC-RA
FBtr0087456	Cyp6a21-RA
FBtr0087455	Cyp6a8-RA
FBtr0074684	CG8034-RA
FBtr0073158	CG14977-RA
FBtr0089931	Rab32-RB
FBtr0346636	Rab32-RJ
FBtr0083139	CG6654-RA
FBtr0302187	Efa6-RG
FBtr0072150	Fmo-1-RA
FBtr0310268	mod-RC
FBtr0303857	kst-RF
FBtr0078342	Tsr1-RA
FBtr0077323	CG15456-RA
FBtr0344222	Ank2-RY
FBtr0080095	CG18302-RA
FBtr0077266	CG15449-RA
FBtr0071883	blw-RA
FBtr0299869	RpL10-RC
FBtr0075897	mRpL20-RA
FBtr0078197	CG5955-RA
FBtr0087891	Ak6-RA
FBtr0076688	CdsA-RA
FBtr0070420	Vinc-RA
FBtr0070422	SmydA-8-RA
FBtr0083358	CG10340-RA
FBtr0345089	Svil-RG
FBtr0306944	CG43341-RA
FBtr0306943	CG43340-RO
FBtr0087290	bug-RA
FBtr0334483	bt-RI
FBtr0080979	CG15141-RA
FBtr0299796	CG42329-RA
FBtr0307093	salr-RC
FBtr0345074	CG9674-RI
FBtr0071300	Bap111-RA
FBtr0077567	tim-RB
FBtr0300901	Dtd-RB
FBtr0083852	Xport-A-RA
FBtr0073113	ND-30-RA
FBtr0073833	AMPdeam-RC
FBtr0073527	bif-RC
FBtr0305965	CG14661-RB
FBtr0084824	CG31300-RA
FBtr0100559	Hsp22-RB
FBtr0085450	Obp99a-RA
FBtr0088346	CAP-RE
FBtr0084264	CG33110-RA
FBtr0088348	CG12909-RA
FBtr0071907	EMC8-9-RA
FBtr0078227	mRpL15-RA
FBtr0084853	CG10553-RA
FBtr0076810	CG7409-RA
FBtr0111274	CG17528-RC
FBtr0088935	CG18812-RC
FBtr0083053	mRpS10-RA
FBtr0340041	CG16952-RE
FBtr0087934	CG8545-RA
FBtr0336853	CG44195-RA
FBtr0339237	CG11221-RB
FBtr0078417	CG9391-RA
FBtr0110882	Wdr62-RB
FBtr0072281	tamo-RA
FBtr0072164	EbpIII-RA
FBtr0072162	CG11388-RA
FBtr0300500	Pdp1-RJ
FBtr0088333	Hdc-RA
FBtr0075993	CG11560-RA
FBtr0083179	alpha-Man-IIb-RA
FBtr0300048	CG34180-RB
FBtr0112422	CG34229-RA
FBtr0080850	CG5861-RA
FBtr0332775	SCCRO4-RD
FBtr0080539	CAH1-RA
FBtr0078670	Hat1-RA
FBtr0079372	CG13773-RA
FBtr0082384	mRpL40-RA
FBtr0079071	vri-RA
FBtr0079883	CG4619-RA
FBtr0073362	CG7509-RA
FBtr0081599	CG1234-RA
FBtr0078070	Pph13-RA
FBtr0084135	lsn-RA
FBtr0111011	mRpL34-RA
FBtr0308238	CG7582-RB
FBtr0074216	UQCR-14-RA
FBtr0082311	MED7-RA
FBtr0331658	Ndae1-RD
FBtr0086906	Ns2-RA
FBtr0072785	GV1-RB
FBtr0089318	mRpL13-RA
FBtr0100670	norpA-RC
FBtr0083790	CG11407-RA
FBtr0076648	GAPsec-RA
FBtr0074949	Gbeta76C-RA
FBtr0300466	CG42492-RA
FBtr0300465	CG42492-RC
FBtr0343368	c11.1-RB
FBtr0081132	CG10428-RA
FBtr0089894	mRpS11-RA
FBtr0084224	CG13856-RA
FBtr0074046	CG7872-RA
FBtr0344849	Cyt-c-p-RB
FBtr0080326	Pex19-RA
FBtr0087335	Vha36-1-RA
FBtr0346145	TwdlG-RC
FBtr0070886	CG4660-RA
FBtr0344362	CG45049-RF
FBtr0332909	asrij-RB
FBtr0303111	Ank2-RP
FBtr0085247	mRpS22-RA
FBtr0088373	CG1671-RA
FBtr0088370	mlt-RA
FBtr0302661	rdgA-RB
FBtr0086114	CG15908-RA
FBtr0084864	CG10514-RA
FBtr0310059	mbl-RO
FBtr0075390	CG33158-RB
FBtr0080147	CG16743-RA
FBtr0081249	CG33116-RA
FBtr0112907	Pli-RB
FBtr0079532	Sirup-RA
FBtr0075328	nudC-RA
FBtr0077181	CG10674-RA
FBtr0075074	CSN1b-RA
FBtr0300456	Cyp4ac2-RB
FBtr0076674	Culd-RA
FBtr0335011	mino-RE
FBtr0345094	Svil-RF
FBtr0079496	CG7149-RA
FBtr0082666	kar-RA
FBtr0335383	CG5397-RB
FBtr0078147	CG3709-RA
FBtr0071090	bys-RA
FBtr0081766	mRpS9-RA
FBtr0331194	CG10600-RC
FBtr0079589	CG8419-RA
FBtr0343324	CG12541-RE
FBtr0072858	CG5687-RA
FBtr0075679	dlp-RA
FBtr0329987	tadr-RC
FBtr0305056	NKAIN-RK
FBtr0076785	Clk-RA
FBtr0302895	CG9849-RB
FBtr0075471	CG4962-RA
FBtr0305559	CG4168-RB
FBtr0342936	vri-RE
FBtr0073452	CG11752-RA
FBtr0073696	CG4407-RB
FBtr0079985	CG4957-RA
FBtr0079986	Mulk-RA
FBtr0345213	CG5191-RF
FBtr0305303	pyd-RL
FBtr0074175	UBL3-RB
FBtr0088031	CG13192-RA
FBtr0077418	CG15630-RA
FBtr0076556	CG5644-RA
FBtr0086258	qsm-RA
FBtr0335231	CG11052-RD
FBtr0080626	Rab14-RA
FBtr0340673	Nna1-RC
FBtr0302273	mRpL37-RB
FBtr0083663	CG31229-RA
FBtr0110894	CG34134-RA
FBtr0081207	CG10237-RA
FBtr0330416	dysc-RF
FBtr0309960	b-RB
FBtr0080485	kek4-RA
FBtr0079369	nop5-RA
FBtr0080528	CG18507-RB
FBtr0082548	Cpn-RB
FBtr0073257	Teh3-RA
FBtr0079041	Rtnl1-RD
FBtr0337034	Dhc98D-RD
FBtr0072776	mRpL46-RA
FBtr0301313	Zasp52-RI
FBtr0083399	GckIII-RA
FBtr0083397	kuk-RA
FBtr0073955	eag-RA
FBtr0303294	pdgy-RB
FBtr0303422	Eip63F-1-RD
FBtr0082431	CG14722-RA
FBtr0078619	Gasp-RA
FBtr0082121	mRpL47-RB
FBtr0344752	tau-RM
FBtr0079992	CG5037-RA
FBtr0300818	CG17324-RB
FBtr0073652	CG2556-RA
FBtr0070953	l(1)G0255-RA
FBtr0112890	fz2-RC
FBtr0073380	CG2202-RA
FBtr0072706	cue-RA
FBtr0079696	mRpL51-RA
FBtr0085628	CG15536-RA
FBtr0071320	lz-RA
FBtr0085405	Cisd2-RA
FBtr0075643	CG6878-RA
FBtr0084230	Nop56-RA
FBtr0331634	CG42367-RC
FBtr0081890	Dhod-RA
FBtr0081898	pch2-RA
FBtr0111188	CG40486-RB
FBtr0087341	Vha14-1-RA
FBtr0079874	Bka-RA
FBtr0073428	CG2076-RA
FBtr0110850	LPCAT-RB
FBtr0112376	CG34183-RA
FBtr0332936	CG1695-RC
FBtr0310205	pyd-RO
FBtr0077884	CG31937-RA
FBtr0081155	CG10561-RA
FBtr0076204	Mocs1-RA
FBtr0086714	mRpS28-RA
FBtr0088599	Mad1-RA
FBtr0082375	Ugt35b-RA
FBtr0077080	QC-RA
FBtr0344013	CG5903-RB
FBtr0075384	CG4842-RA
FBtr0078536	CG11241-RA
FBtr0333223	nmo-RH
FBtr0078023	ninaA-RA
FBtr0077247	bves-RB
FBtr0332631	CG17493-RC
FBtr0077168	AlaRS-m-RA
FBtr0077169	Srp54k-RA
FBtr0071860	bonsai-RA
FBtr0342772	SmydA-8-RC
FBtr0088625	alc-RB
FBtr0088742	CSN7-RA
FBtr0088746	Cyp4e1-RA
FBtr0330177	Eip71CD-RG
FBtr0472597	CG11891-RH
FBtr0304060	mv-RB
FBtr0079250	Cpr-RA
FBtr0308858	CG43427-RP
FBtr0333253	tim-RM
FBtr0333255	tim-RO
FBtr0073348	LeuRS-m-RA
FBtr0072742	Pcyt2-RA
FBtr0070494	Syx4-RA
FBtr0075548	CG7272-RA
FBtr0344158	l(3)L1231-RD
FBtr0080994	mEFTs-RA
FBtr0079413	mEFG1-RA
FBtr0071785	Swim-RA
FBtr0070368	Pex5-RB
FBtr0072841	Mfap1-RA
FBtr0303264	DAAM-RD
FBtr0445725	Usp5-RC
FBtr0301008	CG32221-RB
FBtr0086920	robl-RA
FBtr0076795	lqf-RA
FBtr0332570	CG4629-RE
FBtr0100652	Cp110-RE
FBtr0071446	flw-RA
FBtr0100153	h-RB
FBtr0076062	viaf-RA
FBtr0081832	mRpL1-RA
FBtr0086691	PIG-O-RA
FBtr0073484	dlg1-RF
FBtr0345529	Achl-RB
FBtr0301488	Lkb1-RJ
FBtr0331952	CG43340-RQ
FBtr0084205	rdhB-RA
FBtr0085438	Cnx99A-RB
FBtr0084362	CG13833-RA
FBtr0086148	Fmo-2-RA
FBtr0077830	AIF-RA
FBtr0086992	mbl-RB
FBtr0074695	CG7990-RA
FBtr0077425	bdl-RA
FBtr0330258	CG43739-RA
FBtr0301763	Nrg-RE
FBtr0303846	CG15093-RE
FBtr0079058	mRpL24-RA
FBtr0303117	Ank2-RL
FBtr0078694	Rheb-RB
FBtr0070682	mRpL30-RA
FBtr0339991	Shroom-RH
FBtr0304992	CG32369-RC
FBtr0080127	CG17108-RA
FBtr0299967	DIP-epsilon-RA
FBtr0079949	CG4908-RA
FBtr0078508	laza-RA
FBtr0072391	CG3760-RB
FBtr0082403	RpL24-like-RA
FBtr0334284	Rgk1-RC
FBtr0071624	CG15661-RA
FBtr0289993	CG30050-RB
FBtr0082338	Ugt86Da-RA
FBtr0075347	Dbp73D-RA
FBtr0079637	SLC5A11-RA
FBtr0082115	CG9386-RA
FBtr0076694	MED24-RA
FBtr0080397	spict-RA
FBtr0082526	ClC-a-RA
FBtr0080468	CG6565-RA
FBtr0306937	CG43340-RG
FBtr0086457	par-1-RH
FBtr0073621	Lsm12-RA
FBtr0301626	mRpS35-RA
FBtr0330615	CG12895-RB
FBtr0301055	app-RK
FBtr0082747	Dic1-RB
FBtr0082066	RnpS1-RA
FBtr0073539	CG1561-RB
FBtr0083908	CG5191-RC
FBtr0082591	CG5844-RA
FBtr0072437	CG12848-RA
FBtr0300453	CG32638-RB
FBtr0072908	CG1275-RD
FBtr0300451	CG31205-RB
FBtr0076705	Rab19-RA
FBtr0076493	eIF4E1-RF
FBtr0343537	Usp30-RB
FBtr0078730	CG2182-RA
FBtr0111280	CG3107-RC
FBtr0076270	galla-2-RA
FBtr0339709	wtrw-RD
FBtr0339099	Snp-RD
FBtr0071771	Vps35-RB
FBtr0071653	Egfr-RA
FBtr0084847	tobi-RA
FBtr0074243	CG9911-RA
FBtr0301447	loj-RE
FBtr0085821	kek6-RA
FBtr0082265	pug-RA
FBtr0080883	her-RA
FBtr0072912	CG5707-RA
FBtr0339124	ACC-RF
FBtr0113744	RpL15-RC
FBtr0302149	Mlf-RE
FBtr0078423	ORMDL-RA
FBtr0305315	CG1965-RB
FBtr0300484	lolal-RF
FBtr0331566	CG4825-RB
FBtr0300693	CG11073-RB
FBtr0345422	Eip55E-RB
FBtr0333701	CG11155-RD
FBtr0334661	CG33521-RG
FBtr0084707	CG7016-RA
FBtr0303898	nAChRalpha6-RG
FBtr0302226	uex-RE
FBtr0080998	GCS2beta-RA
FBtr0308125	fred-RF
FBtr0302366	CG14184-RB
FBtr0330163	Tsp96F-RB
FBtr0339705	Dgkepsilon-RB
FBtr0302157	Cul3-RC
FBtr0089233	4E-T-RC
FBtr0073278	Faa-RA
FBtr0074872	CG14184-RA
FBtr0083565	14-3-3epsilon-RA
FBtr0082851	Hrb87F-RA
FBtr0343125	Pfdn1-RB
FBtr0273398	pst-RE
FBtr0082487	Ect3-RA
FBtr0346619	unc-119-RC
FBtr0340455	hppy-RD
FBtr0079467	CG5181-RA
FBtr0342624	CG1662-RB
FBtr0076553	Galk-RA
FBtr0087789	sug-RA
FBtr0100477	fax-RC
FBtr0076001	CAH2-RA
FBtr0070493	CG32795-RC
FBtr0080928	CG13283-RA
FBtr0075025	Sfxn2-RA
FBtr0339633	CG1532-RB
FBtr0300269	heph-RU
FBtr0081617	Mlp84B-RB
FBtr0074617	wgn-RA
FBtr0075459	l(3)72Dp-RA
FBtr0080436	CG5287-RA
FBtr0084361	CG17121-RA
FBtr0089049	Gadd45-RA
FBtr0081191	CG10621-RA
FBtr0075198	Pep-RA
FBtr0087007	Sply-RA
FBtr0070347	PIG-K-RA
FBtr0075562	dop-RA
FBtr0088083	wal-RB
FBtr0089386	CG1354-RB
FBtr0089145	CG31998-RA
FBtr0077545	CG3604-RA
FBtr0300702	CG12567-RD
FBtr0331798	CG11309-RE
FBtr0070186	CG3699-RA
FBtr0089496	Gdh-RB
FBtr0345197	Thd1-RC
FBtr0335186	CG8475-RC
FBtr0332845	bves-RC
FBtr0083815	CG11447-RA
FBtr0089656	JhI-21-RB
FBtr0070216	AMPKalpha-RA
FBtr0070351	eIF2Bepsilon-RB
FBtr0084294	Rpn7-RA
FBtr0070582	Rala-RB
FBtr0071351	CG7766-RA
FBtr0083016	smp-30-RA
FBtr0306351	Mvl-RG
FBtr0086137	l(2)01289-RB
FBtr0076879	Srp19-RA
FBtr0071338	su(r)-RC
FBtr0303508	CG17111-RB
FBtr0077745	ND-B17.2-RA
FBtr0085796	CG1635-RA
FBtr0079745	raw-RB
FBtr0336809	Cdep-RE
FBtr0300797	CG1674-RF
FBtr0113387	LpR2-RF
FBtr0100660	kuz-RC
FBtr0334668	CG1943-RD
FBtr0087446	CG10205-RB
FBtr0335515	koi-RD
FBtr0070592	CG10804-RB
FBtr0100580	ewg-RF
FBtr0346437	Rab6-RB
FBtr0084421	CG10175-RA
FBtr0070599	Crg-1-RB
FBtr0303602	CG42795-RB
FBtr0071340	CG12118-RB
FBtr0078128	CG11555-RA
FBtr0343606	Prosalpha6-RB
FBtr0305346	CG5937-RD
FBtr0079631	Snx6-RA
FBtr0086293	Obp57b-RA
FBtr0075723	Gbs-70E-RA
FBtr0076210	CG7638-RA
FBtr0334902	ctrip-RI
FBtr0072127	gbb-RA
FBtr0299918	stw-RA
FBtr0071489	ZAP3-RC
FBtr0070960	CG14439-RA
FBtr0087347	fus-RB
FBtr0100617	CG9795-RD
FBtr0072694	rho-RA
FBtr0075898	MICAL-like-RA
FBtr0082898	CG9631-RA
FBtr0342577	RpS9-RE
FBtr0086113	Adf1-RC
FBtr0083052	Caf1-55-RA
FBtr0078440	CG7407-RA
FBtr0114598	CG8008-RB
FBtr0090003	Ca-alpha1D-RD
FBtr0075412	fax-RA
FBtr0340328	IM3-RB
