geneID	symbol
FBtr0089340	Rel-RC
FBtr0088842	CG12822-RB
FBtr0112706	CG34417-RF
FBtr0299903	Rab21-RC
FBtr0072338	CG4707-RA
FBtr0112879	CrebB-RJ
FBtr0086580	CG15111-RB
FBtr0329978	CG34351-RD
FBtr0084648	Esyt2-RB
FBtr0085373	Ctl2-RC
FBtr0331759	alpha-Man-Ia-RP
FBtr0332415	CG8353-RB
FBtr0332000	PNUTS-RE
FBtr0100382	nrv2-RF
FBtr0077966	CG4887-RA
FBtr0079999	CG5022-RA
FBtr0343756	pre-mod(mdg4)-B-RA
FBtr0071015	CG8300-RA
FBtr0071547	CG3295-RA
FBtr0078704	Atu-RA
FBtr0334890	COX5A-RC
FBtr0085101	TwdlT-RA
FBtr0305317	CG30345-RB
FBtr0085513	trp-RA
FBtr0086089	COX4L-RA
FBtr0078226	CG11796-RB
FBtr0084852	CG10560-RA
FBtr0300866	CG13124-RE
FBtr0073067	PHGPx-RA
FBtr0085922	CG2201-RC
FBtr0336679	St3-RB
FBtr0075365	Syx8-RA
FBtr0079572	Bsg-RH
FBtr0074183	PGRP-LE-RA
FBtr0077144	Cyt-c1-RA
FBtr0310088	Zasp52-RN
FBtr0310531	Chd64-RC
FBtr0078413	AcCoAS-RA
FBtr0305149	Imp-RK
FBtr0085961	RpL21-RA
FBtr0075992	ssp-RA
FBtr0076360	CG6709-RA
FBtr0301645	Teh4-RB
FBtr0082457	Jupiter-RB
FBtr0075517	Arl1-RA
FBtr0334285	btsz-RB
FBtr0078676	CG2082-RD
FBtr0083703	Xrp1-RD
FBtr0331384	CG14806-RB
FBtr0083258	tara-RB
FBtr0299582	Tlk-RH
FBtr0331218	LUBEL-RG
FBtr0331389	Drip-RE
FBtr0071590	MFS16-RB
FBtr0071607	Acox57D-d-RA
FBtr0071168	Trxr-1-RB
FBtr0075566	AIMP2-RB
FBtr0075564	CG12301-RA
FBtr0075209	U4-U6-60K-RA
FBtr0075208	Edc3-RB
FBtr0307191	nuf-RM
FBtr0100183	14-3-3zeta-RJ
FBtr0087840	spt4-RA
FBtr0343381	CG9512-RB
FBtr0087241	Lis-1-RF
FBtr0073397	CG1552-RB
FBtr0340144	CG6568-RB
FBtr0077454	CG15440-RA
FBtr0340192	Gfrl-RM
FBtr0079307	homer-RB
FBtr0088473	trpl-RB
FBtr0088576	Su(var)2-10-RE
FBtr0344845	CG10623-RC
FBtr0332356	CG42817-RB
FBtr0091486	PNUTS-RA
FBtr0087444	hui-RB
FBtr0110811	CG14864-RB
FBtr0073146	sty-RB
FBtr0306738	fne-RC
FBtr0072417	pain-RA
FBtr0452125	CG46310-RA
FBtr0070688	CG3009-RA
FBtr0433531	Sod3-RF
FBtr0086889	swi2-RA
FBtr0085094	SPARC-RA
FBtr0074135	exd-RA
FBtr0088073	Tret1-1-RA
FBtr0302662	rdgA-RC
FBtr0078215	mTerf3-RA
FBtr0334794	kraken-RB
FBtr0307491	GCS1-RC
FBtr0078135	CG3625-RA
FBtr0081367	CG10949-RA
FBtr0082829	CG9288-RA
FBtr0305077	Dyb-RH
FBtr0072130	TM4SF-RA
FBtr0334640	Lrrk-RC
FBtr0084406	CG31365-RA
FBtr0088205	CG12391-RA
FBtr0075322	Nrt-RB
FBtr0087881	CG8785-RA
FBtr0300982	bsk-RE
FBtr0071676	Tim10-RA
FBtr0075078	CG3961-RC
FBtr0080916	mdy-RB
FBtr0347560	CG31064-RH
FBtr0081993	pum-RB
FBtr0335387	FASN1-RC
FBtr0290278	CG8229-RD
FBtr0302434	CG16986-RB
FBtr0071094	RpS14a-RB
FBtr0070861	CG6041-RA
FBtr0339781	SPR-RB
FBtr0082183	Best1-RA
FBtr0082181	Invadolysin-RA
FBtr0345006	CG2277-RC
FBtr0299788	CG42326-RD
FBtr0343326	CG32726-RB
FBtr0331760	sog-RB
FBtr0304807	CG43078-RA
FBtr0085694	aralar1-RA
FBtr0076782	Pdp1-RC
FBtr0301858	CG42268-RH
FBtr0079148	Gpdh1-RA
FBtr0084308	CG6985-RA
FBtr0089451	anne-RG
FBtr0071389	CG9686-RA
FBtr0080362	Patsas-RA
FBtr0333835	Rdl-RF
FBtr0110960	CG32982-RB
FBtr0340195	sdk-RG
FBtr0071207	Nrg-RA
FBtr0089553	Ubc10-RA
FBtr0078847	CG2016-RB
FBtr0087533	CG8468-RA
FBtr0086156	SdhB-RA
FBtr0087902	Den1-RA
FBtr0087293	Mlf-RB
FBtr0303779	CG10165-RC
FBtr0083667	CG7706-RA
FBtr0344438	Kr-h1-RB
FBtr0307350	Arr1-RB
FBtr0339181	Sp7-RF
FBtr0088717	CG30356-RA
FBtr0070070	Or1a-RA
FBtr0340359	CG5174-RP
FBtr0344327	CG31224-RC
FBtr0075983	CG32103-RC
FBtr0310064	vib-RB
FBtr0307508	CG31817-RB
FBtr0452181	yki-RH
FBtr0084458	CG10375-RA
FBtr0071035	Inx7-RA
FBtr0072812	alphaCOP-RA
FBtr0087870	nemy-RB
FBtr0344755	Yeti-RB
FBtr0100298	Dyb-RD
FBtr0079218	slmo-RB
FBtr0082280	CG14687-RA
FBtr0084017	meigo-RA
FBtr0347554	CG42238-RE
FBtr0071532	cpa-RA
FBtr0084629	Golgin84-RA
FBtr0290300	sano-RE
FBtr0089964	Tm1-RG
FBtr0306022	beta-Man-RD
FBtr0083424	Keap1-RC
FBtr0085409	Slbp-RA
FBtr0088568	Phax-RA
FBtr0331638	Cnot4-RK
FBtr0344874	Ekar-RD
FBtr0343286	Unc-89-RG
FBtr0086214	GNBP-like3-RA
FBtr0308687	CG2765-RF
FBtr0074333	CG4789-RA
FBtr0076843	lark-RC
FBtr0077519	Sec5-RA
FBtr0072954	Pxn-RE
FBtr0100532	Dhpr-RC
FBtr0083503	Prx3-RA
FBtr0100537	bocks-RB
FBtr0080452	CG16820-RA
FBtr0085571	CG9743-RA
FBtr0076207	CG7839-RA
FBtr0072036	Golgin245-RA
FBtr0334870	Orct-RB
FBtr0073235	Hexo1-RA
FBtr0304161	Root-RD
FBtr0335474	crol-RG
FBtr0084878	CG5112-RA
FBtr0335473	crol-RF
FBtr0073725	CG32645-RB
FBtr0110922	Eip63E-RH
FBtr0302113	CG17233-RD
FBtr0079001	Col4a1-RC
FBtr0081374	La-RA
FBtr0333220	Mkp3-RD
FBtr0333229	Gpdh1-RF
FBtr0335276	Src42A-RB
FBtr0301660	tho2-RB
FBtr0301914	ovo-RE
FBtr0343377	Cdc7-RB
FBtr0308916	CG3556-RB
FBtr0079703	fu12-RA
FBtr0082570	GstD3-RA
FBtr0299929	sqa-RB
FBtr0073188	CG32264-RB
FBtr0343137	CG44774-RC
FBtr0100023	capt-RB
FBtr0084702	sosie-RA
FBtr0084461	CG10208-RA
FBtr0330315	MTA1-like-RD
FBtr0343486	pio-RE
FBtr0078060	shv-RA
FBtr0074748	Zw-RA
FBtr0346579	vri-RF
FBtr0082870	CG9922-RA
FBtr0076888	CG14830-RA
FBtr0081501	E2f2-RA
FBtr0087268	CG8314-RA
FBtr0302160	fu12-RC
FBtr0339103	CG44249-RA
FBtr0392910	CG5071-RD
FBtr0301484	Octbeta1R-RC
FBtr0100482	Pglym78-RB
FBtr0086225	CG9945-RB
FBtr0343641	Ance-3-RC
FBtr0080738	lace-RA
FBtr0072965	CG16758-RE
FBtr0082943	HEATR2-RA
FBtr0081356	RtGEF-RA
FBtr0085867	CG11550-RA
FBtr0074446	CG8675-RA
FBtr0081932	CG9821-RA
FBtr0086136	l(2)01289-RA
FBtr0331400	CG13722-RB
FBtr0329947	NLaz-RB
FBtr0072131	CG5597-RA
FBtr0073438	CG15202-RA
FBtr0302498	CG18659-RD
FBtr0083237	CG10407-RA
FBtr0339440	Pfrx-RN
FBtr0333218	Pdk1-RJ
FBtr0332993	Hers-RI
FBtr0346308	Fpgs-RB
FBtr0333855	CG8336-RD
FBtr0079638	CG8475-RA
FBtr0088879	CG2915-RA
FBtr0331532	CG14109-RB
FBtr0083136	CG31344-RA
FBtr0081424	CG31676-RA
FBtr0100058	NimB3-RA
FBtr0076622	GstO3-RA
FBtr0336462	Karybeta3-RB
FBtr0334310	Lerp-RE
FBtr0071313	Dsor1-RA
FBtr0333914	CG17698-RF
FBtr0085360	CG11837-RA
FBtr0089188	apolpp-RA
FBtr0331621	CG13272-RB
FBtr0084326	CG4813-RA
FBtr0082061	CG8149-RA
FBtr0345640	LeuRS-RB
FBtr0087460	Ciao1-RA
FBtr0073439	CG15201-RA
FBtr0082596	Scgbeta-RA
FBtr0073434	Hsp60A-RA
FBtr0089771	tinc-RA
FBtr0112788	Lrrk-RB
FBtr0073942	NetA-RA
FBtr0342919	CG17321-RB
FBtr0079840	Trx-2-RA
FBtr0074175	UBL3-RB
FBtr0335491	Slob-RK
FBtr0302639	Pka-R1-RX
FBtr0347285	CG33939-RB
FBtr0087604	RN-tre-RB
FBtr0339098	CG44247-RB
FBtr0088422	Pfk-RB
FBtr0331842	CG7564-RB
FBtr0340622	ND-24-RB
FBtr0088425	RpLP0-like-RA
FBtr0074153	CG9170-RA
FBtr0089050	Ady43A-RA
FBtr0088905	Cyt-b5-RB
FBtr0300598	ATPCL-RF
FBtr0081340	Taf13-RA
FBtr0300048	CG34180-RB
FBtr0083566	14-3-3epsilon-RB
FBtr0112422	CG34229-RA
FBtr0082926	CG31321-RB
FBtr0078785	CG1161-RA
FBtr0078787	RpII18-RA
FBtr0076304	CG32055-RA
FBtr0112922	Gasp-RB
FBtr0079589	CG8419-RA
FBtr0087678	CG6191-RA
FBtr0070651	norpA-RA
FBtr0078995	CG14043-RA
FBtr0332883	Nmda1-RI
FBtr0273437	Cubn-RB
FBtr0340336	CG44422-RB
FBtr0302388	CG30054-RE
FBtr0070477	per-RA
FBtr0082568	CG4115-RA
FBtr0071682	pirk-RA
FBtr0077334	obst-A-RA
FBtr0304714	Usp8-RB
FBtr0300276	CG6967-RC
FBtr0112890	fz2-RC
FBtr0074870	CG14186-RA
FBtr0073270	Chd64-RB
FBtr0081832	mRpL1-RA
FBtr0073375	Con-RA
FBtr0078147	CG3709-RA
FBtr0071670	eIF3k-RA
FBtr0343129	ND-51-RB
FBtr0078342	Tsr1-RA
FBtr0334140	Pde1c-RG
FBtr0273310	Tsp97E-RD
FBtr0072594	dpr20-RA
FBtr0345147	CG9449-RK
FBtr0080590	bgm-RA
FBtr0075758	CG32137-RB
FBtr0085733	Alp4-RA
FBtr0076005	CG11529-RA
FBtr0075023	CG6836-RA
FBtr0079164	obst-E-RB
FBtr0079372	CG13773-RA
FBtr0304001	Rbp1-like-RB
FBtr0082417	CG18764-RA
FBtr0344633	sr-RE
FBtr0082384	mRpL40-RA
FBtr0080182	porin-RA
FBtr0070900	CG3823-RA
FBtr0079807	Mco1-RA
FBtr0083784	ort-RA
FBtr0333762	Ntf-2-RE
FBtr0301488	Lkb1-RJ
FBtr0299698	prom-RB
FBtr0086126	Mccc2-RA
FBtr0333768	Smr-RG
FBtr0089944	CG9272-RA
FBtr0089497	Gdh-RF
FBtr0088373	CG1671-RA
FBtr0342673	CG11099-RB
FBtr0084214	PyK-RA
FBtr0078825	rtp-RA
FBtr0084213	PyK-RB
FBtr0087512	LamC-RA
FBtr0302409	CG17691-RE
FBtr0112527	CG34325-RA
FBtr0080336	CG17211-RA
FBtr0087455	Cyp6a8-RA
FBtr0336747	RtGEF-RF
FBtr0073158	CG14977-RA
FBtr0089931	Rab32-RB
FBtr0078745	kra-RG
FBtr0072150	Fmo-1-RA
FBtr0290130	CG6910-RB
FBtr0303857	kst-RF
FBtr0114505	CG10513-RB
FBtr0083189	cv-d-RA
FBtr0344222	Ank2-RY
FBtr0304963	Cam-RC
FBtr0080095	CG18302-RA
FBtr0083736	cry-RA
FBtr0073335	CG15019-RA
FBtr0331834	lqf-RH
FBtr0086516	Tab2-RA
FBtr0100009	drd-RA
FBtr0077266	CG15449-RA
FBtr0081254	Tep4-RA
FBtr0072129	ken-RA
FBtr0299526	l(1)G0196-RK
FBtr0078197	CG5955-RA
FBtr0088764	CG2121-RA
FBtr0301297	CG9775-RD
FBtr0070420	Vinc-RA
FBtr0089023	Tsp42Ef-RA
FBtr0331506	CG43779-RA
FBtr0080474	CG9377-RA
FBtr0345089	Svil-RG
FBtr0306944	CG43341-RA
FBtr0339970	RpS23-RB
FBtr0073203	CG1136-RA
FBtr0310444	CG1628-RC
FBtr0334483	bt-RI
FBtr0080979	CG15141-RA
FBtr0076961	SP1173-RB
FBtr0301203	CG8547-RC
FBtr0299796	CG42329-RA
FBtr0307093	salr-RC
FBtr0084723	CG31121-RA
FBtr0071300	Bap111-RA
FBtr0082071	CG16789-RA
FBtr0301847	NKAIN-RF
FBtr0084317	CG4721-RA
FBtr0084319	CG4725-RA
FBtr0334094	ND-SGDH-RB
FBtr0073294	DOR-RD
FBtr0073527	bif-RC
FBtr0299509	DCX-EMAP-RC
FBtr0086906	Ns2-RA
FBtr0086738	pAbp-RA
FBtr0085455	Obp99d-RA
FBtr0071909	inaD-RA
FBtr0079507	CG13794-RA
FBtr0088340	CAP-RG
FBtr0088438	Pka-R2-RB
FBtr0088348	CG12909-RA
FBtr0072776	mRpL46-RA
FBtr0110906	Ekar-RB
FBtr0078227	mRpL15-RA
FBtr0078225	CG11796-RA
FBtr0084851	CG10562-RA
FBtr0073064	CG12016-RB
FBtr0073062	Drsl5-RA
FBtr0340041	CG16952-RE
FBtr0088933	CG30497-RB
FBtr0087934	CG8545-RA
FBtr0342936	vri-RE
FBtr0339237	CG11221-RB
FBtr0078417	CG9391-RA
FBtr0110882	Wdr62-RB
FBtr0072281	tamo-RA
FBtr0336692	Tao-RJ
FBtr0088227	CG12325-RA
FBtr0302786	Lmpt-RK
FBtr0114537	Pdh-RD
FBtr0114536	Pdh-RC
FBtr0332775	SCCRO4-RD
FBtr0071691	CG10433-RB
FBtr0078670	Hat1-RA
FBtr0334284	Rgk1-RC
FBtr0114558	Cyp4aa1-RB
FBtr0084139	CG6656-RA
FBtr0079883	CG4619-RA
FBtr0083700	Xrp1-RB
FBtr0081599	CG1234-RA
FBtr0077323	CG15456-RA
FBtr0078179	CG5618-RA
FBtr0084135	lsn-RA
FBtr0111011	mRpL34-RA
FBtr0345919	Mgstl-RC
FBtr0088228	nclb-RA
FBtr0334606	gish-RM
FBtr0273303	CG30203-RB
FBtr0082311	MED7-RA
FBtr0331658	Ndae1-RD
FBtr0330704	Slob-RH
FBtr0345599	SmydA-8-RD
FBtr0072785	GV1-RB
FBtr0075426	Pdh-RA
FBtr0089318	mRpL13-RA
FBtr0332455	CLIP-190-RT
FBtr0082131	CG8417-RA
FBtr0100670	norpA-RC
FBtr0309113	hts-RP
FBtr0084008	CG5745-RA
FBtr0335504	und-RB
FBtr0114615	l(2)05287-RB
FBtr0076648	GAPsec-RA
FBtr0300465	CG42492-RC
FBtr0343368	c11.1-RB
FBtr0081132	CG10428-RA
FBtr0081133	Tango6-RA
FBtr0084949	boss-RA
FBtr0076455	Cpr67B-RA
FBtr0084224	CG13856-RA
FBtr0082043	GstZ2-RC
FBtr0082041	GstZ2-RB
FBtr0299646	Nedd4-RG
FBtr0074046	CG7872-RA
FBtr0083929	CG31200-RA
FBtr0080325	esc-RA
FBtr0080326	Pex19-RA
FBtr0079869	IP3K1-RA
FBtr0113308	Nph-RB
FBtr0346145	TwdlG-RC
FBtr0452124	CG46309-RA
FBtr0344362	CG45049-RF
FBtr0332909	asrij-RB
FBtr0080114	CG6495-RA
FBtr0076216	IRSp53-RA
FBtr0088681	Pgi-RC
FBtr0075955	Obp69a-RA
FBtr0085844	faf-RC
FBtr0113074	Dyb-RF
FBtr0086887	CG6424-RB
FBtr0088370	mlt-RA
FBtr0347147	Tango9-RB
FBtr0086114	CG15908-RA
FBtr0339432	CG13366-RE
FBtr0308835	Ih-RK
FBtr0310059	mbl-RO
FBtr0075390	CG33158-RB
FBtr0080147	CG16743-RA
FBtr0083191	ND-23-RA
FBtr0112900	Gpo1-RD
FBtr0075328	nudC-RA
FBtr0079534	Tg-RB
FBtr0335205	Gdh-RD
FBtr0335011	mino-RE
FBtr0345094	Svil-RF
FBtr0082666	kar-RA
FBtr0335383	CG5397-RB
FBtr0083361	Scp2-RA
FBtr0073217	Ero1L-RB
FBtr0070907	kdn-RA
FBtr0071090	bys-RA
FBtr0071091	spidey-RA
FBtr0331194	CG10600-RC
FBtr0088471	trpl-RA
FBtr0082186	tws-RA
FBtr0076974	MCU-RE
FBtr0076603	DNApol-alpha50-RA
FBtr0330118	CG32407-RB
FBtr0071797	CG11073-RA
FBtr0084712	CG11069-RA
FBtr0343324	CG12541-RE
FBtr0075679	dlp-RA
FBtr0078536	CG11241-RA
FBtr0085345	wat-RA
FBtr0076785	Clk-RA
FBtr0302895	CG9849-RB
FBtr0076780	Pdp1-RD
FBtr0075471	CG4962-RA
FBtr0100396	ey-RD
FBtr0087832	Galphaq-RD
FBtr0087408	CG10257-RA
FBtr0073452	CG11752-RA
FBtr0073696	CG4407-RB
FBtr0087173	Vha44-RA
FBtr0079985	CG4957-RA
FBtr0079986	Mulk-RA
FBtr0345213	CG5191-RF
FBtr0085443	alph-RB
FBtr0305303	pyd-RL
FBtr0082785	Act87E-RA
FBtr0081276	CG10337-RA
FBtr0300901	Dtd-RB
FBtr0076556	CG5644-RA
FBtr0075355	Baldspot-RA
FBtr0335231	CG11052-RD
FBtr0080626	Rab14-RA
FBtr0340673	Nna1-RC
FBtr0083663	CG31229-RA
FBtr0340281	CG5773-RB
FBtr0082902	CG9649-RA
FBtr0082901	CG31326-RA
FBtr0085320	Noa36-RA
FBtr0330416	dysc-RF
FBtr0334836	ninaC-RD
FBtr0300179	gol-RD
FBtr0309961	Adar-RI
FBtr0088243	CG30015-RB
FBtr0290055	CG31370-RB
FBtr0084285	CG5326-RA
FBtr0086026	CG14591-RB
FBtr0084289	CG5346-RA
FBtr0079369	nop5-RA
FBtr0080528	CG18507-RB
FBtr0080527	CG18507-RA
FBtr0080489	CG16974-RA
FBtr0073257	Teh3-RA
FBtr0112803	Fas1-RD
FBtr0079041	Rtnl1-RD
FBtr0331392	mwh-RA
FBtr0079952	eEF1delta-RB
FBtr0337034	Dhc98D-RD
FBtr0301256	CG42557-RA
FBtr0071610	cv-2-RA
FBtr0344186	CG40498-RJ
FBtr0088141	Drip-RA
FBtr0072576	CG32344-RA
FBtr0082438	CG6834-RA
FBtr0303294	pdgy-RB
FBtr0300956	CG30427-RE
FBtr0300817	CG31189-RB
FBtr0078619	Gasp-RA
FBtr0344750	tau-RK
FBtr0082121	mRpL47-RB
FBtr0344752	tau-RM
FBtr0074925	Cyp305a1-RA
FBtr0074924	cyc-RA
FBtr0347550	Vps24-RB
FBtr0083399	GckIII-RA
FBtr0073652	CG2556-RA
FBtr0346536	Pdp1-RP
FBtr0071537	Treh-RA
FBtr0073380	CG2202-RA
FBtr0079696	mRpL51-RA
FBtr0085628	CG15536-RA
FBtr0086691	PIG-O-RA
FBtr0071240	CG12116-RA
FBtr0071320	lz-RA
FBtr0085972	Pngl-RA
FBtr0088440	CG1418-RA
FBtr0075643	CG6878-RA
FBtr0331634	CG42367-RC
FBtr0081890	Dhod-RA
FBtr0076599	Arr2-RA
FBtr0081898	pch2-RA
FBtr0346158	RpS8-RF
FBtr0073819	CG11151-RA
FBtr0301034	CG33993-RB
FBtr0079874	Bka-RA
FBtr0086813	CG5773-RA
FBtr0085715	CG15547-RA
FBtr0083053	mRpS10-RA
FBtr0112376	CG34183-RA
FBtr0340327	t-RB
FBtr0310205	pyd-RO
FBtr0077886	CG17646-RA
FBtr0077884	CG31937-RA
FBtr0339964	eIF3m-RB
FBtr0081155	CG10561-RA
FBtr0076204	Mocs1-RA
FBtr0086060	scaf-RB
FBtr0088592	Cyp4p1-RA
FBtr0302115	Eno-RF
FBtr0088599	Mad1-RA
FBtr0073044	eIF1-RA
FBtr0082374	Ugt35a-RA
FBtr0077080	QC-RA
FBtr0339497	CG1461-RB
FBtr0331356	trp-RB
FBtr0332800	Rac2-RB
FBtr0273328	Pex7-RB
FBtr0081371	CG16798-RA
FBtr0075424	Cpr72Ec-RA
FBtr0077247	bves-RB
FBtr0087047	inaC-RA
FBtr0077168	AlaRS-m-RA
FBtr0072102	Eglp4-RA
FBtr0086625	Jheh1-RA
FBtr0088742	CSN7-RA
FBtr0300100	Sugb-RE
FBtr0084264	CG33110-RA
FBtr0307047	chinmo-RH
FBtr0302546	Sh3beta-RC
FBtr0084054	ETHR-RA
FBtr0308858	CG43427-RP
FBtr0072219	Nap1-RA
FBtr0084864	CG10514-RA
FBtr0333255	tim-RO
FBtr0073348	LeuRS-m-RA
FBtr0100026	CG33981-RB
FBtr0072742	Pcyt2-RA
FBtr0329992	Sema2b-RD
FBtr0334152	CG44014-RA
FBtr0072196	CG3907-RA
FBtr0079797	Ggamma30A-RC
FBtr0301347	Hr38-RD
FBtr0079799	Cks30A-RA
FBtr0079413	mEFG1-RA
FBtr0071785	Swim-RA
FBtr0070368	Pex5-RB
FBtr0072841	Mfap1-RA
FBtr0303264	DAAM-RD
FBtr0445725	Usp5-RC
FBtr0301008	CG32221-RB
FBtr0080291	Rh5-RA
FBtr0079382	nrv2-RA
FBtr0070494	Syx4-RA
FBtr0080994	mEFTs-RA
FBtr0100652	Cp110-RE
FBtr0113215	CG14688-RB
FBtr0100153	h-RB
FBtr0336624	CG17005-RE
FBtr0473405	CG11951-RD
FBtr0077330	Syx16-RA
FBtr0336623	CG17005-RD
FBtr0336622	CG17005-RC
FBtr0071662	CG10082-RB
FBtr0100479	Gapdh1-RB
FBtr0073484	dlg1-RF
FBtr0345447	CG6115-RB
FBtr0087511	RpI1-RA
FBtr0331810	CG7430-RB
FBtr0084362	CG13833-RA
FBtr0077830	AIF-RA
FBtr0086992	mbl-RB
FBtr0074344	CG4928-RA
FBtr0073004	CG32486-RD
FBtr0330258	CG43739-RA
FBtr0079282	CG9498-RA
FBtr0301763	Nrg-RE
FBtr0070195	CG3713-RA
FBtr0083655	CG12333-RA
FBtr0083126	Cp190-RA
FBtr0078070	Pph13-RA
FBtr0078571	Arf79F-RA
FBtr0301313	Zasp52-RI
FBtr0332295	Rph-RC
FBtr0340709	CG13315-RB
FBtr0087456	Cyp6a21-RA
FBtr0072141	Taldo-RA
FBtr0078942	CG31522-RA
FBtr0086669	GstE1-RA
FBtr0077685	CG31694-RA
FBtr0086033	CG7881-RA
FBtr0303846	CG15093-RE
FBtr0332618	Gapdh2-RC
FBtr0073011	spz5-RA
FBtr0303117	Ank2-RL
FBtr0078694	Rheb-RB
FBtr0083712	NP15.6-RA
FBtr0339991	Shroom-RH
FBtr0299967	DIP-epsilon-RA
FBtr0299964	CG42365-RA
FBtr0079949	CG4908-RA
FBtr0072391	CG3760-RB
FBtr0305056	NKAIN-RK
FBtr0071625	CG4302-RA
FBtr0071624	CG15661-RA
FBtr0289993	CG30050-RB
FBtr0088176	dare-RA
FBtr0082338	Ugt86Da-RA
FBtr0075347	Dbp73D-RA
FBtr0076750	Srp9-RA
FBtr0339722	puc-RB
FBtr0082115	CG9386-RA
FBtr0076694	MED24-RA
FBtr0080397	spict-RA
FBtr0344568	CG45093-RD
FBtr0082526	ClC-a-RA
FBtr0082298	CG14694-RA
FBtr0080468	CG6565-RA
FBtr0073233	CG1316-RA
FBtr0306937	CG43340-RG
FBtr0299915	brp-RD
FBtr0086457	par-1-RH
FBtr0078592	Osi2-RB
FBtr0084632	CG5728-RA
FBtr0301626	mRpS35-RA
FBtr0342607	firl-RE
FBtr0077576	Hydr2-RA
FBtr0345485	Cyp6w1-RB
FBtr0082747	Dic1-RB
FBtr0082066	RnpS1-RA
FBtr0087547	Arc2-RA
FBtr0075712	CG4914-RA
FBtr0302187	Efa6-RG
FBtr0081882	CG8036-RC
FBtr0083908	CG5191-RC
FBtr0082591	CG5844-RA
FBtr0290096	RhoGAP15B-RC
FBtr0076199	CG7888-RC
FBtr0343535	CG6903-RB
FBtr0332579	mRpL16-RB
FBtr0081863	nac-RA
FBtr0339663	Gart-RC
FBtr0085468	Dop1R2-RB
FBtr0330668	Rab5-RG
FBtr0332505	CG4598-RB
FBtr0084999	Ald-RD
FBtr0072029	CG3530-RA
FBtr0086706	CG5323-RA
FBtr0075971	CG10654-RA
FBtr0335462	CG9886-RB
FBtr0335465	CG13085-RB
FBtr0074014	CG9164-RB
FBtr0110915	Dys-RD
FBtr0336664	Dpit47-RB
FBtr0332328	x16-RB
FBtr0306150	CG9812-RD
FBtr0083609	mTerf5-RA
FBtr0088909	Corin-RB
FBtr0344009	CG5916-RB
FBtr0080168	abo-RA
FBtr0075787	CG17359-RA
FBtr0339710	dsx-RF
FBtr0080768	Gli-RD
