Cluster-1	total=47	enrichmentScore=2.385266169264057	phaseStdDev=5.5262231507656425	"Membrane,Transmembrane helix,Transmembrane,integral component of membraneAnnotation Cluster 1"	Enrichment Score: 2.385266169264057								
FBtr0332979	CG18869-RB	0.69586	0.049797	6.2	FlyBase CG18869-RB	Figure for CG18869-RB							
FBtr0330324	CG43740-RC	0.445786	0.048117	3.5	FlyBase CG43740-RC	Figure for CG43740-RC							
FBtr0306351	Mvl-RG	0.814089	0.044016	1.3	FlyBase Mvl-RG	Figure for Mvl-RG							
FBtr0114598	CG8008-RB	1.725957	0.020338	18.1	FlyBase CG8008-RB	Figure for CG8008-RB							
FBtr0273277	CG5535-RC	1.83791	0.021821	16.6	FlyBase CG5535-RC	Figure for CG5535-RC							
FBtr0084361	CG17121-RA	2.378906	0.013512	7.3	FlyBase CG17121-RA	Figure for CG17121-RA							
FBtr0072694	rho-RA	0.879529	0.04508	5.5	FlyBase rho-RA	Figure for rho-RA							
FBtr0085679	CG9717-RA	2.826314	0	21.6	FlyBase CG9717-RA	Figure for CG9717-RA							
FBtr0332863	Cyp312a1-RB	2.944176	0	2.5	FlyBase Cyp312a1-RB	Figure for Cyp312a1-RB							
FBtr0083751	CG5835-RA	1.678406	0.005754	3.9	FlyBase CG5835-RA	Figure for CG5835-RA							
FBtr0344026	CG42394-RD	0.311697	0.014133	0.3	FlyBase CG42394-RD	Figure for CG42394-RD							
FBtr0089223	PlexA-RA	3.180937	0.003712	3.9	FlyBase PlexA-RA	Figure for PlexA-RA							
FBtr0083581	CG7675-RA	0.950545	0.049214	3.3	FlyBase CG7675-RA	Figure for CG7675-RA							
FBtr0085210	CG5646-RA	1.141263	0.015004	13.1	FlyBase CG5646-RA	Figure for CG5646-RA							
FBtr0088690	Cyp6a13-RA	0.969891	0.044621	7.4	FlyBase Cyp6a13-RA	Figure for Cyp6a13-RA							
FBtr0079106	GluRIIA-RI	1.417825	0.021143	3.9	FlyBase GluRIIA-RI	Figure for GluRIIA-RI							
FBtr0075941	CG10960-RC	1.662563	0.024935	6.8	FlyBase CG10960-RC	Figure for CG10960-RC							
FBtr0075942	CG10960-RB	1.918725	0.011106	7.1	FlyBase CG10960-RB	Figure for CG10960-RB							
FBtr0078484	CG7130-RA	2.850508	0.007274	13	FlyBase CG7130-RA	Figure for CG7130-RA							
FBtr0088306	trsn-RA	0.390311	0.0455	18.1	FlyBase trsn-RA	Figure for trsn-RA							
FBtr0071269	Moe-RD	0.782881	0.044159	16.9	FlyBase Moe-RD	Figure for Moe-RD							
FBtr0089628	CG10383-RA	2.862592	0.003712	8.4	FlyBase CG10383-RA	Figure for CG10383-RA							
FBtr0073518	rho-4-RB	1.42522	0.031618	11.3	FlyBase rho-4-RB	Figure for rho-4-RB							
FBtr0085488	Cad99C-RA	1.442284	0.033669	3.9	FlyBase Cad99C-RA	Figure for Cad99C-RA							
													
Cluster-2	total=5	enrichmentScore=2.312165377999305	phaseStdDev=3.9767491357426414	"imaginal disc-derived wing vein specification,maintenance of epithelial integrity, open tracheal system,single organismal cell-cell adhesionAnnotation Cluster 2"	Enrichment Score: 2.312165377999305								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0007474~imaginal disc-derived wing vein specification	5	3.875968992	0.00129109	2.6243146	3.976749136	"FBtr0072694, FBtr0290323, FBtr0075035, FBtr0072127, FBtr0071653"	100	53	10996	10.37358491	0.458636353	0.203992242
GOTERM_BP_DIRECT	"GO:0035160~maintenance of epithelial integrity, open tracheal system"	3	2.325581395	0.004993817	5.005933333	0.51274135	"FBtr0072694, FBtr0075035, FBtr0071653"	100	12	10996	27.49	0.907264665	0.473413855
GOTERM_BP_DIRECT	GO:0016337~single organismal cell-cell adhesion	3	2.325581395	0.017952076	5.005933333	0.51274135	"FBtr0072694, FBtr0075035, FBtr0071653"	100	23	10996	14.3426087	0.999816758	0.997344201
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0290323	net-RB	1.21871	0.024513	18.8	FlyBase net-RB	Figure for net-RB							
FBtr0072694	rho-RA	0.879529	0.04508	5.5	FlyBase rho-RA	Figure for rho-RA							
FBtr0071653	Egfr-RA	1.579842	0.021821	4.3	FlyBase Egfr-RA	Figure for Egfr-RA							
FBtr0072127	gbb-RA	1.186604	0.028027	3.3	FlyBase gbb-RA	Figure for gbb-RA							
FBtr0075035	Mkp3-RB	1.09497	0.04386	5.2	FlyBase Mkp3-RB	Figure for Mkp3-RB							
													
Cluster-3	total=8	enrichmentScore=1.9140895621374394	phaseStdDev=3.839550983927743	"Removed by a dipeptidylpeptidase,response to bacterium,defense response,Innate immunity,Immunity,Amidation,innate immune response,SecretedAnnotation Cluster 3"	Enrichment Score: 1.9140895621374394								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	propeptide:Removed by a dipeptidylpeptidase	3	2.325581395	6.45E-04	11.532356	1.000887103	"FBtr0086664, FBtr0086662, FBtr0071559"	34	4	3113	68.66911765	0.076335293	0.080025889
GOTERM_BP_DIRECT	GO:0009617~response to bacterium	5	3.875968992	7.55E-04	9.6673928	3.149608376	"FBtr0086664, FBtr0086662, FBtr0071559, FBtr0085307, FBtr0089339"	100	46	10996	11.95217391	0.301434335	0.203992242
GOTERM_BP_DIRECT	GO:0006952~defense response	4	3.100775194	0.003459945	9.47488975	3.667537778	"FBtr0086664, FBtr0086662, FBtr0071559, FBtr0081005"	100	34	10996	12.93647059	0.807242705	0.410003435
UP_KEYWORDS	Innate immunity	4	3.100775194	0.021930665	9.56618425	3.51408954	"FBtr0086664, FBtr0086662, FBtr0071559, FBtr0089339"	129	65	13921	6.64090638	0.921925551	0.441838763
UP_KEYWORDS	Immunity	4	3.100775194	0.026594617	9.56618425	3.51408954	"FBtr0086664, FBtr0086662, FBtr0071559, FBtr0089339"	129	70	13921	6.166555925	0.954941107	0.441838763
UP_KEYWORDS	Amidation	3	2.325581395	0.02713045	11.532356	1.000887103	"FBtr0086664, FBtr0086662, FBtr0071559"	129	28	13921	11.56229236	0.95770586	0.441838763
GOTERM_BP_DIRECT	GO:0045087~innate immune response	4	3.100775194	0.067269399	9.56618425	3.51408954	"FBtr0086664, FBtr0086662, FBtr0071559, FBtr0089339"	100	104	10996	4.229230769	1	1
UP_KEYWORDS	Secreted	5	3.875968992	0.271256446	9.8289874	3.366882248	"FBtr0086664, FBtr0086662, FBtr0299905, FBtr0071559, FBtr0072127"	129	287	13921	1.880047538	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0081005	dl-RA	1.739361	0.014133	3.3	FlyBase dl-RA	Figure for dl-RA							
FBtr0072127	gbb-RA	1.186604	0.028027	3.3	FlyBase gbb-RA	Figure for gbb-RA							
FBtr0086662	IM1-RA	0.674717	0.043198	12.5	FlyBase IM1-RA	Figure for IM1-RA							
FBtr0085307	Sid-RA	1.694786	0.003712	10.1	FlyBase Sid-RA	Figure for Sid-RA							
FBtr0089339	Rel-RB	0.62316	0.014577	3.7	FlyBase Rel-RB	Figure for Rel-RB							
FBtr0071559	IM4-RA	0.05846	0.030327	11.9	FlyBase IM4-RA	Figure for IM4-RA							
FBtr0086664	IM2-RA	1.25852	0.020338	10.2	FlyBase IM2-RA	Figure for IM2-RA							
FBtr0299905	CG6675-RB	1.566158	0.025112	11.3	FlyBase CG6675-RB	Figure for CG6675-RB							
													
Cluster-4	total=3	enrichmentScore=1.5912765780934575	phaseStdDev=0.2581429110064596	"IPT,Cell surface receptor IPT/TIG,Immunoglobulin E-set,Immunoglobulin-like foldAnnotation Cluster 4"	Enrichment Score: 1.5912765780934575								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00429:IPT	3	2.325581395	0.001981367	3.634096667	0.258142911	"FBtr0089223, FBtr0081005, FBtr0089339"	53	7	5218	42.19407008	0.122694437	0.130770206
INTERPRO	IPR002909:Cell surface receptor IPT/TIG	3	2.325581395	0.003119011	3.634096667	0.258142911	"FBtr0089223, FBtr0081005, FBtr0089339"	106	9	10984	34.5408805	0.572455397	0.848370864
INTERPRO	IPR014756:Immunoglobulin E-set	3	2.325581395	0.137679595	3.634096667	0.258142911	"FBtr0089223, FBtr0081005, FBtr0089339"	106	68	10984	4.571587125	1	1
INTERPRO	IPR013783:Immunoglobulin-like fold	3	2.325581395	0.507040202	3.634096667	0.258142911	"FBtr0089223, FBtr0081005, FBtr0089339"	106	177	10984	1.756315958	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0089339	Rel-RB	0.62316	0.014577	3.7	FlyBase Rel-RB	Figure for Rel-RB							
FBtr0081005	dl-RA	1.739361	0.014133	3.3	FlyBase dl-RA	Figure for dl-RA							
FBtr0089223	PlexA-RA	3.180937	0.003712	3.9	FlyBase PlexA-RA	Figure for PlexA-RA							
													
Cluster-5	total=4	enrichmentScore=1.3512287521025568	phaseStdDev=6.222721286910775	"ANK repeat,ANK,Ankyrin repeat,Ankyrin repeat-containing domainAnnotation Cluster 5"	Enrichment Score: 1.3512287521025568								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	ANK repeat	4	3.100775194	0.037384213	9.162077	6.222721287	"FBtr0086245, FBtr0339709, FBtr0070625, FBtr0089339"	129	80	13921	5.395736434	0.987494741	0.473533361
SMART	SM00248:ANK	4	3.100775194	0.046236619	9.162077	6.222721287	"FBtr0086245, FBtr0339709, FBtr0070625, FBtr0089339"	53	81	5218	4.861868157	0.956037488	1
INTERPRO	IPR002110:Ankyrin repeat	4	3.100775194	0.046357682	9.162077	6.222721287	"FBtr0086245, FBtr0339709, FBtr0070625, FBtr0089339"	106	84	10984	4.9344115	0.999997529	1
INTERPRO	IPR020683:Ankyrin repeat-containing domain	4	3.100775194	0.049123462	9.162077	6.222721287	"FBtr0086245, FBtr0339709, FBtr0070625, FBtr0089339"	106	86	10984	4.819657745	0.999998879	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0086245	Fem-1-RA	0.259688	0.048207	3	FlyBase Fem-1-RA	Figure for Fem-1-RA							
FBtr0089339	Rel-RB	0.62316	0.014577	3.7	FlyBase Rel-RB	Figure for Rel-RB							
FBtr0339709	wtrw-RD	1.946222	0.014577	18	FlyBase wtrw-RD	Figure for wtrw-RD							
FBtr0070625	CG6428-RA	1.33792	0.016399	12	FlyBase CG6428-RA	Figure for CG6428-RA							
													
Cluster-6	total=10	enrichmentScore=1.0880840934355054	phaseStdDev=4.528764553463269	"NAD(P)-binding domain,Glucose/ribitol dehydrogenase,oxidoreductase activity,OxidoreductaseAnnotation Cluster 6"	Enrichment Score: 1.0880840934355054								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR016040:NAD(P)-binding domain	6	4.651162791	0.019455252	8.8694275	4.664100888	"FBtr0082265, FBtr0083581, FBtr0084361, FBtr0089329, FBtr0077008, FBtr0088922"	106	162	10984	3.837875611	0.995223193	1
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	3	2.325581395	0.103027739	6.810294667	2.675983952	"FBtr0083581, FBtr0084361, FBtr0088922"	106	57	10984	5.453823237	1	1
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	5	3.875968992	0.11742485	7.5949442	2.439946894	"FBtr0083581, FBtr0335166, FBtr0084361, FBtr0088690, FBtr0088922"	91	193	9284	2.643056425	0.999999998	1
UP_KEYWORDS	Oxidoreductase	9	6.976744186	0.188761136	6.514509778	3.574052464	"FBtr0082265, FBtr0083581, FBtr0335166, FBtr0084361, FBtr0332863, FBtr0088690, FBtr0087747, FBtr0077008, FBtr0088922"	129	601	13921	1.616027551	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084361	CG17121-RA	2.378906	0.013512	7.3	FlyBase CG17121-RA	Figure for CG17121-RA							
FBtr0087747	CG4716-RA	2.276678	0.012733	1.9	FlyBase CG4716-RA	Figure for CG4716-RA							
FBtr0335166	Cyp309a1-RB	0.522917	0.045142	10.1	FlyBase Cyp309a1-RB	Figure for Cyp309a1-RB							
FBtr0089329	Inos-RA	2.652383	0.010249	16.5	FlyBase Inos-RA	Figure for Inos-RA							
FBtr0332863	Cyp312a1-RB	2.944176	0	2.5	FlyBase Cyp312a1-RB	Figure for Cyp312a1-RB							
FBtr0088922	CG2065-RA	0.823724	0.040256	9.8	FlyBase CG2065-RA	Figure for CG2065-RA							
FBtr0077008	Ldh-RA	1.880868	0.003712	12.4	FlyBase Ldh-RA	Figure for Ldh-RA							
FBtr0083581	CG7675-RA	0.950545	0.049214	3.3	FlyBase CG7675-RA	Figure for CG7675-RA							
FBtr0082265	pug-RA	0.957005	0.044621	3.8	FlyBase pug-RA	Figure for pug-RA							
FBtr0088690	Cyp6a13-RA	0.969891	0.044621	7.4	FlyBase Cyp6a13-RA	Figure for Cyp6a13-RA							
													
Cluster-7	total=8	enrichmentScore=0.8980144284676372	phaseStdDev=5.161605824609514	"transmembrane transport,Major facilitator superfamily,Major facilitator superfamily domainAnnotation Cluster 7"	Enrichment Score: 0.8980144284676372								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	7	5.426356589	0.046693612	13.06753588	5.161605825	"FBtr0339709, FBtr0114598, FBtr0329884, FBtr0089546, FBtr0075941, FBtr0339769, FBtr0075942, FBtr0085679"	100	290	10996	2.654206897	1	1
INTERPRO	IPR011701:Major facilitator superfamily	3	2.325581395	0.184738576	13.38662967	3.429779633	"FBtr0114598, FBtr0329884, FBtr0339769"	106	82	10984	3.79107225	1	1
INTERPRO	IPR020846:Major facilitator superfamily domain	4	3.100775194	0.234499353	10.7983442	4.13724209	"FBtr0114598, FBtr0329884, FBtr0075941, FBtr0339769, FBtr0075942"	106	175	10984	2.36851752	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0114598	CG8008-RB	1.725957	0.020338	18.1	FlyBase CG8008-RB	Figure for CG8008-RB							
FBtr0075942	CG10960-RB	1.918725	0.011106	7.1	FlyBase CG10960-RB	Figure for CG10960-RB							
FBtr0075941	CG10960-RC	1.662563	0.024935	6.8	FlyBase CG10960-RC	Figure for CG10960-RC							
FBtr0339769	CG15890-RB	1.770956	0.015735	10.1	FlyBase CG15890-RB	Figure for CG15890-RB							
FBtr0089546	CG5002-RA	0.660678	0.038333	10.9	FlyBase CG5002-RA	Figure for CG5002-RA							
FBtr0085679	CG9717-RA	2.826314	0	21.6	FlyBase CG9717-RA	Figure for CG9717-RA							
FBtr0329884	NaPi-T-RB	1.359608	0.034557	11.9	FlyBase NaPi-T-RB	Figure for NaPi-T-RB							
FBtr0339709	wtrw-RD	1.946222	0.014577	18	FlyBase wtrw-RD	Figure for wtrw-RD							
													
Cluster-8	total=11	enrichmentScore=0.7815352779297399	phaseStdDev=5.986127414062895	"extracellular region,Secreted,disulfide bondAnnotation Cluster 8"	Enrichment Score: 0.7815352779297399								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	11	8.527131783	0.030746638	9.373317364	5.986127414	"FBtr0086664, FBtr0086662, FBtr0084691, FBtr0087494, FBtr0299905, FBtr0071933, FBtr0071559, FBtr0343517, FBtr0077326, FBtr0072127, FBtr0300123"	93	556	10026	2.132861453	0.957325452	0.714803612
UP_KEYWORDS	Secreted	5	3.875968992	0.271256446	9.8289874	3.366882248	"FBtr0086664, FBtr0086662, FBtr0299905, FBtr0071559, FBtr0072127"	129	287	13921	1.880047538	1	1
UP_SEQ_FEATURE	disulfide bond	4	3.100775194	0.542271109	7.96428225	3.608601162	"FBtr0086664, FBtr0086662, FBtr0084691, FBtr0072127"	34	265	3113	1.382019978	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084691	tld-RA	1.47289	0.025455	5.9	FlyBase tld-RA	Figure for tld-RA							
FBtr0086664	IM2-RA	1.25852	0.020338	10.2	FlyBase IM2-RA	Figure for IM2-RA							
FBtr0072127	gbb-RA	1.186604	0.028027	3.3	FlyBase gbb-RA	Figure for gbb-RA							
FBtr0086662	IM1-RA	0.674717	0.043198	12.5	FlyBase IM1-RA	Figure for IM1-RA							
FBtr0087494	CG30197-RA	0.950999	0.042978	3.9	FlyBase CG30197-RA	Figure for CG30197-RA							
FBtr0343517	Mur2B-RC	1.968716	0.018191	3	FlyBase Mur2B-RC	Figure for Mur2B-RC							
FBtr0071933	CG2852-RA	0.70136	0.047375	3.6	FlyBase CG2852-RA	Figure for CG2852-RA							
FBtr0300123	bnl-RC	3.224353	0	14	FlyBase bnl-RC	Figure for bnl-RC							
FBtr0071559	IM4-RA	0.05846	0.030327	11.9	FlyBase IM4-RA	Figure for IM4-RA							
FBtr0077326	Obp19c-RA	2.707742	0	23.5	FlyBase Obp19c-RA	Figure for Obp19c-RA							
FBtr0299905	CG6675-RB	1.566158	0.025112	11.3	FlyBase CG6675-RB	Figure for CG6675-RB							
													
Cluster-9	total=9	enrichmentScore=0.6084662093788283	phaseStdDev=3.1680544914088133	"endoplasmic reticulum membrane,organelle membrane,Microsome,Cytochrome P450,monooxygenase activity,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,Endoplasmic reticulum,Monooxygenase,Iron,Iron (heme axial ligand),Heme,oxidation-reduction process,Secondary metabolites biosynthesis, transport, and catabolism,heme binding,iron ion bindingAnnotation Cluster 9"	Enrichment Score: 0.6084662093788283								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	5	3.875968992	0.145108535	7.3659822	2.750246509	"FBtr0078770, FBtr0335166, FBtr0332863, FBtr0088690, FBtr0074875"	93	221	10026	2.439059991	0.999999867	1
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	3	2.325581395	0.163661676	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	93	79	10026	4.093915884	0.999999986	1
UP_KEYWORDS	Microsome	3	2.325581395	0.164292879	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	129	79	13921	4.098027671	0.999999999	1
INTERPRO	IPR001128:Cytochrome P450	3	2.325581395	0.205566523	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	106	88	10984	3.532590051	1	1
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	3	2.325581395	0.209861732	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	91	88	9284	3.478021978	1	1
GOTERM_MF_DIRECT	"GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	3	2.325581395	0.220550197	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	91	91	9284	3.363361913	1	1
UP_KEYWORDS	Endoplasmic reticulum	4	3.100775194	0.23967919	7.46613675	3.066702652	"FBtr0078770, FBtr0335166, FBtr0332863, FBtr0088690"	129	184	13921	2.345972363	1	1
UP_KEYWORDS	Monooxygenase	3	2.325581395	0.244594502	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	129	103	13921	3.143147437	1	1
UP_KEYWORDS	Iron	4	3.100775194	0.251963018	6.2107765	2.857170014	"FBtr0335166, FBtr0332863, FBtr0088690, FBtr0082259"	129	189	13921	2.283909602	1	1
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	3	2.325581395	0.2707839	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	34	96	3113	2.861213235	1	1
UP_KEYWORDS	Heme	3	2.325581395	0.288918206	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	129	116	13921	2.790898156	1	1
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	6	4.651162791	0.313184705	6.744124833	3.586942621	"FBtr0082265, FBtr0335166, FBtr0290050, FBtr0332863, FBtr0088690, FBtr0077008"	100	412	10996	1.601359223	1	1
COG_ONTOLOGY	"Secondary metabolites biosynthesis, transport, and catabolism"	3	2.325581395	0.358624815	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	18	91	1239	2.269230769	0.988220645	1
GOTERM_MF_DIRECT	GO:0020037~heme binding	3	2.325581395	0.367112801	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	91	132	9284	2.318681319	1	1
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	3	2.325581395	0.421990908	6.673664	3.166623013	"FBtr0335166, FBtr0332863, FBtr0088690"	91	148	9284	2.068013068	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0335166	Cyp309a1-RB	0.522917	0.045142	10.1	FlyBase Cyp309a1-RB	Figure for Cyp309a1-RB							
FBtr0078770	PEK-RA	0.779956	0.040144	9.8	FlyBase PEK-RA	Figure for PEK-RA							
FBtr0074875	SREBP-RC	1.343903	0.034557	7	FlyBase SREBP-RC	Figure for SREBP-RC							
