FBID	0	4	8	12	16	20	24	28	32	36	40	44
FBtr0070065	25.5945	21.6105	20.2181	21.0129	21.9585	15.8068	10.2192	12.9206	18.3031	11.2103	22.7312	20.6508
FBtr0070066	2.57395	3.50039	1.98569	0	0.639439	2.19063	1.23862	1.68642	1.66618	1.78355	1.04168	2.15345
FBtr0070067	0.00264212	0.00219264	0.00229522	1.61976	0.00117157	0.00205097	0	0.00235581	0.00257815	0.00211322	0.00134491	0.002205
FBtr0070068	0	0	0	0	0	0	0.990536	0	0	0	0	0
FBtr0342962	0.127839	0	0	0.0615054	0	0.197908	0	0	0	0	0	0.0618261
FBtr0344149	0	0	0	0	0.692552	0	0	1.72002	0	0	0	0
FBtr0070069	0.95346	0.934293	0.931508	1.07948	0.676482	1.10341	0.985338	1.12033	0.690068	0.454466	0.926555	1.19244
FBtr0070070	1.45584	1.75148	2.56899	2.80153	1.70254	0.954718	2.20622	2.15902	2.93945	1.671	1.11002	0.937961
FBtr0070071	0.88648	0.675616	0.83899	0.713062	0.628902	0.566941	0.511933	1.0653	0.764974	0.660148	1.15962	0.982675
FBtr0070072	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070073	0	0	0	0	0	0.0401288	0	0.0703139	0	0.039262	0	0.0374493
FBtr0070074	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070075	0	0	0	0	0	0.111263	0	0	0	0	0	0
FBtr0070076	0	0	0	0.298987	0	0.727898	0	0	0.647514	0.332958	0.309631	0.664727
FBtr0112947	1.01912	1.16079	0.732356	0.369916	0.515664	0.977696	0.728925	0.925352	0.39016	1.21314	0.920791	1.00126
FBtr0070077	1.01301	0.267916	0.450649	0.293093	0.590189	0.599289	0.858509	0.262856	0.2739	0.586298	0.919529	1.11876
FBtr0336919	0	0	0	0	0.18823	0	0	0	0	0	0	0
FBtr0300328	0	0	0	0	0	0	1.0783	0	0	0	0	0
FBtr0070078	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336920	0	0.307995	0	0	0.362155	0.236049	0.174278	0	8.64421e-06	0.194142	0	0
FBtr0336921	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343501	1.23685	1.13715	1.28384	1.82194	2.46026	2.4694	1.50275	1.53138	1.06418	0.985514	1.57168	1.19526
FBtr0070079	5.85294	5.27175	5.44925	3.93651	5.41247	5.36624	6.53154	6.65298	4.54576	5.54279	5.36515	5.3539
FBtr0070080	17.0535	15.9956	15.1467	20.8959	13.1432	18.463	14.9091	16.5751	17.9135	12.7871	16.7076	13.8443
FBtr0340145	2.35302	1.38531	0.666577	1.08378	0.469675	0.444112	3.09178	0.194755	0.4061	0	0	0.827189
FBtr0070088	2.11445	2.12692	1.57452	1.25688	2.01572	4.04546	1.80459	1.71117	2.04493	2.18791	2.27799	3.1983
FBtr0070092	51.2376	51.9966	49.4916	40.8477	42.442	71.1475	51.2446	45.9367	45.4006	45.2005	57.9026	66.51
FBtr0070093	3.83711	1.20513	2.92022	3.05665	2.90422	3.52893	7.81984	4.46912	3.52149	1.84642	2.28149	4.59421
FBtr0070094	4.71898	4.99859	3.92584	4.861	4.79303	4.85012	5.07847	5.48186	3.94081	4.29877	5.08524	4.48207
FBtr0070099	0.0460983	0.831891	0.02394	0.0468066	0.480156	0.501188	0.881188	0.0627838	0.588995	0.653611	0.08789	0
FBtr0070100	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070101	3.26361	3.81322	1.99192	3.89961	3.1702	3.40059	0.00260199	2.90613	2.4223	3.26534	2.36931	3.07836
FBtr0070102	0	0	0	0	0	0	3.81461	0	0	0	0	0
FBtr0273442	0.307828	0	0	0	0	0	0	0.541772	0	0	0.56496	0
FBtr0273443	0	0	0	0	0	0	0	0	0	0	0.855167	0
FBtr0344150	0	0	0.44631	0	0.00469537	0	0	0	0.720108	0	0.0730319	0.281828
FBtr0344151	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070103	0	0.258666	0.194617	0.154447	0.14552	0.30485	0.372223	0.255452	0.188053	0.0707767	0.0725265	0.0617042
FBtr0300326	33.1599	35.2658	33.0425	42.8576	33.3703	37.1992	31.7352	31.7867	31.4099	28.4512	32.583	30.5605
FBtr0342963	0	0	0	0	0	0	0	0	0	0	0	0.0476146
FBtr0070107	0	0.413276	0	0	0.619389	0	0	0	0.155289	1.09726	0	0
FBtr0070108	5.32163	4.07542	3.57432	3.57636	2.95633	3.66521	4.38194	3.95292	4.26956	3.31848	4.4943	3.59594
FBtr0340207	0.000170962	0	4.09984e-05	0.66316	6.73874e-05	0.573394	1.00601	0.334668	0	0	0.000749926	1.10889
FBtr0070109	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307291	57.7	47.6573	51.4132	63.0785	41.6612	34.1791	46.174	47.0002	47.6412	38.1227	43.7781	33.8393
FBtr0307292	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307293	4.94159	6.03972	4.48356	3.78915	3.20748	3.80362	3.88637	4.88372	3.25476	2.86002	4.03403	3.75487
FBtr0307294	135.962	126.014	120.109	118.089	112.681	106.534	141.216	131.835	121.917	108.606	114.088	99.1596
FBtr0307295	8.84353	9.6811	8.6564	4.23396	8.61611	11.0072	10.9702	9.38809	8.09858	8.40294	3.73285	9.91156
FBtr0070115	5.06508	6.87176	6.99304	4.33269	6.68499	6.10998	5.94417	5.22402	4.56111	6.72315	6.18632	7.03326
FBtr0070116	0.000271529	0.750087	0.119924	0	7.94789e-05	0.842059	0.000275818	4.98932e-05	1.52062	0.000272966	0.00031293	0.000222819
FBtr0070117	0	0.00109225	0.767466	0.00549981	0.000380226	0.000360793	0	0.000342205	4.00639e-05	0	0	3.80954e-05
FBtr0070118	4.00704	2.37997	1.97268	4.3201	3.55095	2.85951	3.02422	3.04986	1.45492	2.84296	3.75019	3.6868
FBtr0070119	2.27156	2.1149	1.38618	1.5894	2.26396	2.35198	2.78774	2.0625	1.45933	1.65911	2.11677	2.07544
FBtr0070120	2.48717	3.54998	3.25053	2.45183	3.53058	3.64911	3.68705	2.89929	3.16424	3.52416	3.97669	3.41583
FBtr0340081	0.000172772	5.69325e-05	0.000142931	0.00165427	8.16403e-05	6.95676e-05	0.000409222	0.000139492	0.000253531	0.000217285	0.000119601	0.000163101
FBtr0340082	1.71885	0.950533	0.431621	0.525351	1.26047	1.43729	0.941133	1.39203	1.18915	0.342823	0.65411	1.70476
FBtr0070121	4.26061	2.79288	3.09575	4.02716	2.80255	4.15411	5.06205	3.86849	3.46117	3.23611	6.13589	3.70562
FBtr0308651	0	0	0.453521	0	0.854864	0	0	0	0.920955	1.32546	1.75903	0.386325
FBtr0070122	13.8927	12.939	11.7822	0.0587408	23.4802	11.456	21.8	19.9801	6.60167	21.0279	4.69209	25.1115
FBtr0343564	21.0782	18.5241	19.9247	23.8627	12.4003	18.842	17.9242	16.0131	23.0036	15.4835	22.123	16.7143
FBtr0070134	7.77458	9.59318	8.13255	6.79564	7.20429	7.18734	8.79717	8.69774	9.14755	8.43585	7.40944	7.15547
FBtr0343759	0	0	0.158328	0	0	0	0	0	0.435186	0	0	0
FBtr0070135	114.297	98.5473	90.4869	74.0555	98.1602	79.2728	92.8301	125.615	87.7348	114.112	121.101	125.066
FBtr0070136	93.7878	114.847	72.4383	110.36	128.881	238.417	100.678	92.1192	74.0537	74.0407	56.2201	193.765
FBtr0070137	27.6656	14.737	22.4541	13.8934	22.3179	18.5219	19.7891	21.0987	14.291	20.9823	15.6357	20.0429
FBtr0070138	1.49793	1.06855	0.609213	0.715893	1.03305	1.01684	1.00638	0.86867	0.8433	1.11314	1.41549	0.925326
FBtr0112928	0	0.325007	0.15258	1.7832e-05	0	0	0.191597	0.424683	0.0761482	1.10788e-05	0.000381679	0
FBtr0345511	0.26625	0.177458	0.300833	0.155466	0.0638483	0.130234	0.198075	0.278899	0.243345	0	0.246631	0.0464049
FBtr0070140	6.90352	6.54891	5.77002	4.00489	8.42149	8.01983	6.66785	6.93778	6.91273	6.17661	6.20978	9.02925
FBtr0343325	3.34752	4.14966	3.30639	3.57479	3.38915	4.36239	4.02096	4.3356	3.60596	4.21951	3.05113	4.60353
FBtr0070142	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0290198	0.0781347	0	0.0811036	0.118693	0.0428296	0.0809008	0.121085	0	0.0739501	0.0395643	0.0992868	0.226522
FBtr0070145	0	0	0	0	0	0	0	0.0543261	0	0	0	0
FBtr0070146	6.5019	6.73026	6.37078	6.34336	6.74399	6.65954	5.95005	6.24703	5.84865	5.39257	6.3746	5.71453
FBtr0070147	32.5914	33.7019	26.8795	25.1178	21.0485	19.4901	33.3889	32.3525	26.3516	34.9434	26.9584	24.1995
FBtr0070148	1083.5	1164.74	1287.3	1353.56	747.257	1331.95	1155.34	1003.7	1447.14	834.219	1708.77	749.939
FBtr0070149	0	0	0.0364489	0.071198	0.0385734	0.0727321	0.10887	0.0318832	0	0	0.0892509	0
FBtr0070150	0	0	0	0	0	0.133596	0	0	0	0	0	0.0935684
FBtr0070151	9.96611	9.19669	8.92964	8.15489	9.97157	9.35987	9.74871	8.76479	8.75017	8.84303	9.34781	8.96591
FBtr0308652	0.317771	0.244904	0.409919	0	0.516919	0.757967	0.715231	0.269001	0.322117	0.242964	0.187875	0.188261
FBtr0070155	1060.12	906.591	1080.97	691.897	877.59	844.253	1041.26	1018.24	957.202	804.409	748.238	1092.45
FBtr0070156	306.351	233.502	306.299	160.66	258.948	150.951	306.385	321.626	217.885	240.256	179.49	251.361
FBtr0070157	21.0919	9.43199	11.6794	3.4515	9.03776	7.75924	10.865	14.1859	3.49261	18.655	6.92591	9.10758
FBtr0070158	31.0046	33.5019	24.7322	30.84	23.3789	34.9747	27.6254	29.3991	24.5107	20.617	15.2553	27.4025
FBtr0345321	371.65	495.667	284.436	329.897	257.835	799.057	417.568	196.422	454.875	165.034	672.827	252.427
FBtr0070159	192.494	181.235	116.198	91.9981	135.985	159.074	193.554	171.974	104.488	124.315	107.26	181.545
FBtr0070160	12.0558	9.3717	9.01003	5.37204	6.87275	19.8058	7.80531	8.90298	7.15037	6.18599	7.96614	8.69901
FBtr0070161	5.72141	0.531237	3.61962	0.000243212	0.699286	2.25623	7.08436	2.19303	0.68113	1.92133	3.75005	1.49939
FBtr0110791	0.00111881	0.136696	1.60694	1.14382	1.05736	0.690543	0.900923	0.699053	1.19628	1.68127	0.600806	1.43971
FBtr0339430	1.3022	1.75359	0.152111	1.03123	0.482023	0.758682	0.690702	0.70728	0.906617	0.74158	1.0999	0.54758
FBtr0339431	1.02689	0.000308232	0.00279217	1.50285	1.81779	0.0190625	0.00163925	0.00459908	1.14032	0.00025409	0.00739493	0.00376128
FBtr0339432	8.29906	6.67152	4.32162	7.35961	10.1141	11.2286	5.57899	5.05364	5.88858	5.16709	8.12555	8.19335
FBtr0339433	0	0.546328	0.466813	0.0622779	0	0	0.19347	0.905073	0.117976	0.00251434	1.31444	0.715977
FBtr0339434	0	0.0848305	0	0.0329328	0	0.127555	0	0	0.0432431	0	0.0515971	0.170956
FBtr0110804	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070163	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070164	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310165	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070165	15.1703	14.5918	14.6309	14.0326	14.6669	15.7074	12.8346	14.9672	13.9057	11.7342	16.6967	14.1985
FBtr0307181	8.41601	7.68486	7.43798	5.09307	6.96991	7.42052	7.0915	7.36332	6.42646	6.12978	6.01876	6.31676
FBtr0345512	0.290586	0.537835	0.226212	0.736529	0.477902	0.150473	0.0750511	0.395828	0.206368	0.514867	0.0923571	0.421182
FBtr0070167	0	0.234427	0	0	0	0.116895	0.175272	0.106927	0.326306	0.233325	0.574707	0.45123
FBtr0070168	0	0.497973	0	0.399826	0.433724	0.292107	0	0.252564	0.00937909	0.566825	0.0036413	0.00153227
FBtr0070169	0.117637	0.626791	0.369163	0	0.138621	0	0.11943	0.700826	0.121806	0.241786	0.327621	0.386979
FBtr0307182	20.6809	20.1021	21.8761	19.9588	13.1399	17.4121	21.4029	14.2178	18.6381	18.6955	13.3282	18.4342
FBtr0332589	8.8168	8.78497	3.06522	2.59676	7.63862	2.65736	4.39152	10.3105	4.04359	5.16455	8.6775	2.38344
FBtr0070170	0.465723	0.680514	0.915952	1.09224	0.940529	1.14208	0.658421	0.645419	0.90476	0.968118	1.2459	0.900126
FBtr0070171	0	0	0	0.104096	0	0	0	0.0933282	0.0972833	0	0	0
FBtr0070172	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070173	4.74615	3.62358	4.3929	4.5262	3.90241	3.76761	4.12709	4.27343	4.08031	3.84545	4.92533	4.47192
FBtr0070179	138.458	154.209	169.455	118.375	158.341	228.423	136.382	149.379	150.756	175.287	211.276	259.226
FBtr0070180	0	0.153923	0	0	0.182344	0	0.171838	0	0	0	0	0
FBtr0070181	0.0646647	0	0.0753578	0	0.0727485	0	0.0689401	0.0620519	0	0.0749555	0	0.0647215
FBtr0113327	1.14408	2.79959	2.18077	1.7846	0.505515	2.0778	0.630154	1.58976	2.22425	0.891538	1.85416	1.18257
FBtr0331340	19.8982	16.199	17.176	10.5809	20.3146	14.0348	22.1205	18.1819	12.4072	16.2877	9.72466	21.1125
FBtr0070182	4.83004	4.55793	4.12453	4.04815	5.34735	4.82862	6.02253	5.5305	3.80578	4.89162	4.41424	6.00125
FBtr0070183	43.5448	42.8091	39.0223	49.721	43.7218	39.8683	40.5687	42.8629	40.9354	40.7361	40.8291	39.6703
FBtr0070184	0	0	0	0	0	0	0	0.333288	0	0	0	0.177364
FBtr0070185	0	0	0	0	0	0	0	0	0	0.0259065	0	0
FBtr0342734	0	0	0	0	0	0	0	0	0	3.53217e-06	0	0
FBtr0070186	6.23126	12.9922	19.7158	8.43938	10.6174	20.5993	4.57621	10.5657	22.169	37.8631	28.0474	23.8693
FBtr0070187	8.76524	8.30472	7.86353	6.61528	9.92966	8.27603	8.77536	7.44692	8.01928	7.86225	7.63756	9.88226
FBtr0070188	8.2379	9.04034	7.7942	6.27547	9.79048	10.4543	9.67826	9.03525	5.10581	8.67492	7.54993	11.8709
FBtr0070189	0	0	0	0	0	0	0.036818	0	0	0	0	0
FBtr0331301	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070195	4.08284	4.6243	3.09944	1.45694	1.60369	1.26191	4.02945	3.98375	2.94141	3.82644	1.93588	2.35549
FBtr0310459	0	0	0	2.01249	0	0	0	0	0	0	0	0.30985
FBtr0336688	0.700457	0.462881	0.384839	0.574269	0.694269	0.450956	0.450132	0.817035	0.56499	0.369658	0.507913	0.289104
FBtr0070197	3.74885	1.39165	1.06178	0	1.69411	2.92974	3.46756	1.27553	1.67154	1.39994	1.88545	2.17253
FBtr0310611	0.0967909	0	0.100622	0.0785419	0.530545	0.100342	0.200427	0.0879834	0	0.195731	0.246129	0.374584
FBtr0345513	0.765919	0.790854	1.00777	1.19377	0.477199	0.507087	0.770589	0.713157	0.930883	0.286923	0.889372	0.766742
FBtr0070198	0	0	0	0	0.0902243	0	0	0	0	0	0	0
FBtr0342727	0	0	0	0	5.14858e-07	0.0836294	0	0	0	0	0	0
FBtr0070199	0	0	0	0	0	0.0403158	0.0804918	0	0	0	0	0
FBtr0310612	0	0	0	0	0	3.22892e-05	3.1276e-05	0	0	0	0	0.135835
FBtr0070200	0.434705	0.0365716	0.164081	0.0800426	0.476568	0.163671	0.653248	0.215289	0.149609	0.120064	0.200867	0.190949
FBtr0070201	0.0572747	0.0175871	0.0197314	1.33191e-05	0.104738	0.0989355	1.36959e-06	0.0693795	0.0179817	4.98952e-06	3.38648e-06	0.110823
FBtr0345506	0.000126334	0.000116745	0.000126097	0.130577	0.000146443	0.000123429	0.057094	0.000112926	0.000123987	0.0932739	0.09363	0.000123366
FBtr0070202	0.100706	0.111835	0.146345	0.101987	0.0662424	0.229396	0.14566	0.0914375	0.0571875	0.0815895	0	0.214103
FBtr0070203	0	0	0	0	0	0	0	0	0	0	0.0434112	0
FBtr0070204	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070205	0	0	0	0	4.27094e-05	3.69896e-05	0	0	0	0	0	0
FBtr0342728	0	0	0	0	0.0339837	0.0320995	0	0	0	0	0	0
FBtr0070206	0.171301	0.0951171	0.248933	0.0794315	1.14732e-06	0.239789	0	0	0	0.0787218	0.0979954	0
FBtr0342729	4.16949e-06	0	8.10241e-06	0.10652	0.134812	0.0789637	0.190569	0.446617	0.174579	0.356866	0.0585251	0.118837
FBtr0070207	0.0300283	0.027789	0.0545463	0.0304103	0.0329201	0.0388642	0.0232674	0.0613456	0.0568402	0.0380129	0.114472	0.021764
FBtr0070209	11.5611	12.723	10.4945	9.99033	10.9861	11.6237	12.3592	12.7059	12.7585	11.9794	13.0175	12.0998
FBtr0310619	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070211	0	0	0	0	0	0	0	0	0	0	0.227955	0.115605
FBtr0303284	0.270227	0.375136	0.280495	0.478913	0.148125	0.139897	0.0697951	0.245372	0.191816	0.136835	0	0
FBtr0070212	3.34995	3.94384	2.94905	2.0613	3.92824	3.09535	2.97904	3.83092	2.4682	3.45698	2.61337	4.69205
FBtr0070213	0.685672	0.181297	0	0	0.107386	0.202842	0.101199	0.177876	0	0	0	0.189319
FBtr0070215	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339772	0.577939	0.796845	0.597942	0.379014	1.65377	0.49064	1.40181	0.831249	0.725207	1.44706	0	0.556265
FBtr0339773	3.24932	11.3377	14.7508	0	23.6945	0	17.8034	22.2633	0.00250636	24.1241	0	27.9689
FBtr0339774	68.4388	58.1224	47.0374	56.9708	40.9723	59.9361	54.2047	49.9825	56.175	40.4379	53.5949	40.3825
FBtr0070216	18.2894	16.9194	32.0298	1.82469	26.4538	7.01387	21.7023	32.3198	16.3612	29.478	10.0192	29.3555
FBtr0070217	0.421572	2.72929	7.00773	0	1.38664	1.74584	2.61282	2.29518	3.19015	2.13354	1.07153	2.88684
FBtr0070218	39.108	42.9046	26.5429	55.3983	27.5146	48.6937	36.1359	33.6154	42.4284	32.1028	47.4711	34.8612
FBtr0070219	0.646249	1.33779	0.67448	0.594251	0.493507	0.466362	0.269865	0	0.212964	0.610062	0.213569	0
FBtr0070222	0	0	0.21583	0	0	0	0	0	0	0	0	0.00534155
FBtr0342735	0.636671	0.0143838	0.0225222	1.09464	2.66197	3.32497	8.86087e-05	2.26748	0.612077	2.0784	2.57324	2.06639
FBtr0342736	3.0663	1.88721	2.50141	0.256727	0.26214	0.123536	3.12476	1.40997	3.90567	1.7494	2.88874	2.4408
FBtr0342737	1.42094	0	0.910207	0.96228	0	1.9676	2.24674	1.3026	0.448996	0.00178702	0.603199	0.917249
FBtr0330317	0.000332604	0	0.727886	0	0	0	0	0	0.445013	0	0	0
FBtr0330318	0.0283	0.0568716	0	0.0898937	0	0	0.102077	0.0555202	0	0.0729487	0.0724604	0
FBtr0330319	1.21144	3.77694	1.46618	2.23708	2.47352	0.76296	1.02102	0.986984	0.0012403	1.30982	0.00147013	0.000783469
FBtr0330320	0.238281	0.163171	0.240723	0.422864	0.39226	0.556072	0.492178	0.324544	0.270697	0.120733	0.218106	0.440883
FBtr0070225	57.4778	57.9173	51.6584	59.1414	55.027	44.329	55.58	62.6505	52.6194	53.7355	46.6756	56.6934
FBtr0332291	0.00199947	0.00170135	2.2794	0.00372501	0.00252582	0.00134297	0.00162965	0.00171676	0.00157837	0.00279965	0.00389591	0
FBtr0332292	2.36523	0	0	0	0.770574	8.61635	0.819656	0.306554	1.18234	0.490392	0.517196	0.00360926
FBtr0070230	2.0176	2.3827	2.03175	1.75355	2.32745	2.80616	2.42668	2.07799	1.99505	2.05852	2.64033	3.01195
FBtr0070231	0.760258	1.43644	1.15084	0.641607	0.659832	0.590379	0.654539	0.977908	0.989369	1.05865	0.603793	1.0102
FBtr0070233	45.6933	41.8637	35.1184	27.4876	36.5909	38.3368	42.8086	38.5887	28.9267	36.3421	36.5189	41.7323
FBtr0070234	0.0524613	0.145647	0.0544547	0	0.115027	0	0	0.0952661	0.0993033	0.0531286	0.0666632	0
FBtr0070235	6.7388e-05	0	0	0	0	4.97227e-05	0	0	0	8.76826e-05	0	5.9465e-05
FBtr0342738	4.82067	5.06247	4.93647	4.93469	4.81488	4.21096	5.23552	5.56865	4.94378	4.85565	5.15158	4.69625
FBtr0332287	0	0	0	0	0	6.2932e-05	0	0	0	0	0	0
FBtr0070236	1.47426	1.50236	0.842391	0.522999	2.15655	0.34061	1.52141	1.65859	0.960971	1.42551	1.28949	1.63899
FBtr0070237	0.604183	1.44387	1.36081	0.0992292	0.000490761	0.329742	1.17605	0.304787	0.81517	0.610114	0.573237	0
FBtr0332288	0.000243302	0	0.000137062	0.350685	3.11192e-05	1.52159	2.68184e-05	0	0.00015219	0	0.00231645	0
FBtr0070238	0.124362	0.000507964	0.000554267	0.102561	0.111024	0.128156	0.209276	0.000512066	0.000554287	0.102569	0.000658393	0.000560671
FBtr0342730	0.0679068	0.168498	0.177162	9.91402e-06	1.19132e-05	1.64509e-05	0	0.103121	0.0966666	1.87661e-06	0.0863597	0.220046
FBtr0070239	0.829445	0.526281	1.07831	0.848791	1.12925	1.87518	1.96057	1.59356	0.746509	0.72957	1.62197	1.82592
FBtr0070241	9.17126	11.0454	6.77537	13.1537	9.8645	13.1515	7.94416	6.00782	5.81537	4.18801	10.9166	13.4548
FBtr0342731	0	0.00124906	0	0.00046486	0.000283779	0	0	0.000487226	0	0.00412436	0	0
FBtr0310282	0.170842	0	0.233331	0	0.127182	0	0	0	0	0	0	0
FBtr0310283	0	0	0	0	0	0	0	0	0	0	0	0.000606583
FBtr0303264	13.7264	16.7532	20.4036	14.9965	15.5271	11.1678	13.7157	21.8387	19.8599	24.4798	10.4744	11.0966
FBtr0302877	0.23625	0.654983	0	0	0	0.244937	0.24389	0	0.223371	0.238922	0	0
FBtr0070244	14.0625	12.2265	15.5776	8.87848	11.3562	6.06397	9.72468	10.288	9.81159	17.7867	9.56157	8.41973
FBtr0345507	3.1775	7.73156	3.17625	12.4297	8.13981	12.852	6.48572	10.1984	7.79565	0.0617252	7.29465	8.48371
FBtr0070245	0.587786	0.280218	0.499189	0.396842	0.624863	0.40573	0.809681	0.469	0.252866	0.487033	0.271603	0.550809
FBtr0070250	6.6289	5.86803	5.19358	3.8408	6.7414	4.05713	6.96469	5.52774	4.6504	5.48585	4.95157	5.02356
FBtr0345522	0.44235	0.26355	0.294009	0.416198	0.519974	0.47166	0.228322	0.28619	0.387381	0.130127	0.483428	0.335621
FBtr0070251	0.0244617	0	0	0	0	0	0	0.0444207	0	0	0	0
FBtr0070252	0	0.0925355	0.0345973	0	0	0.0345107	0	0.0302632	0	0	0	0.03221
FBtr0070253	10.4457	9.068	0.919356	0.00019935	5.39099	2.76974	3.50815	3.19183	9.65077	8.11192	10.3262	10.2561
FBtr0339576	3.10818	2.2616	1.7821	0.461908	0.724478	0.473397	1.69851	0.689506	0	1.66305	0.711796	1.43137
FBtr0339577	0.00113061	2.36683	8.26834	4.26101	7.26057	8.23769	8.63595	5.63808	0.000296608	0	0	0.00212986
FBtr0300352	0	0	0	3.97572	0	1.12876	0	0	0	0.00222733	0	0
FBtr0345508	1.33045	0.506594	0.891815	0.298418	0.34259	0.405717	1.05163	1.63159	0.81603	0.632613	1.29714	1.35999
FBtr0070254	2.46803	2.56967	1.71133	1.1424	1.80749	1.24659	2.51017	2.59997	1.56039	2.47775	1.21293	3.27035
FBtr0070257	0	0.100625	0	0.165175	0.0596025	0.112583	0.168505	0.0987265	0	0	0	0.105078
FBtr0070259	16.1768	18.4031	19.0676	15.4815	16.5307	17.611	16.3399	20.9896	19.0088	16.3782	17.6937	16.0304
FBtr0339589	2.02932	1.6865	2.24491	1.89696	1.71751	2.32837	1.47927	0.917202	2.48081	1.70031	1.42322	1.77084
FBtr0070260	2.59715	3.17532	3.26831	2.88189	1.47354	3.27359	2.64928	3.56922	2.30729	2.22294	2.2972	2.51984
FBtr0339591	0.100468	0.123937	0.0347589	0.101695	0.110154	0	0.138279	0.152017	0.316855	0	0.127681	0.161822
FBtr0339590	17.1502	17.6735	16.0279	13.5475	17.5553	17.2841	18.4865	18.6743	14.7391	17.9154	14.9463	18.8756
FBtr0070269	3.38182	2.80022	3.5775	2.70382	3.95584	3.18323	3.61088	3.34975	3.03225	3.0971	3.70104	3.53393
FBtr0070270	9.68268	10.098	10.0822	9.20627	11.5033	12.2429	12.1738	11.6037	8.52028	9.85574	8.59784	15.2219
FBtr0333115	3.12571	2.29862	2.69268	1.81328	3.47185	2.28218	1.66667	1.68451	1.98714	2.47462	3.23022	2.76977
FBtr0273400	0	0	0.039179	0.018648	0	0	0	0.0426337	0.142888	0.00932312	0	0
FBtr0308320	0	0.0150272	0	0.0577496	0.0178327	0.0168321	0.0167737	0.0258899	0	0.0288744	0	0.0313829
FBtr0070272	1.13687	0.846234	0.590024	0.425486	0.135521	0.767704	0.970252	0.830267	0.631544	0.275313	0.659495	0.50155
FBtr0070277	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302174	15.0656	5.45674	9.65363	1.36316	5.49882	0.0936039	0.0163716	0.00522971	0.00508589	0.032657	5.62383	9.07584
