FBtr0343537	Usp30-RB
FBtr0070874	Efr-RA
FBtr0331186	Rchy1-RB
FBtr0334171	Nhe2-RJ
FBtr0113477	CG6006-RC
FBtr0081005	dl-RA
FBtr0082771	Lip3-RA
FBtr0073849	tth-RB
FBtr0304810	CG43078-RD
FBtr0071066	unc-119-RA
FBtr0080276	Mal-B2-RA
FBtr0082898	CG9631-RA
FBtr0071397	CG15247-RA
FBtr0089291	Wnt4-RA
FBtr0301447	loj-RE
FBtr0073421	sesB-RA
FBtr0113378	CG30460-RE
FBtr0310660	Ald-RK
FBtr0072255	AANAT1-RB
FBtr0077706	CG31689-RD
FBtr0339124	ACC-RF
FBtr0302149	Mlf-RE
FBtr0070515	dnc-RD
FBtr0085458	Pcd-RA
FBtr0305315	CG1965-RB
FBtr0086732	CG5098-RA
FBtr0333048	Gug-RI
FBtr0082260	CG6325-RA
FBtr0087520	O-fut1-RA
FBtr0076027	yps-RA
FBtr0339154	GABA-B-R2-RC
FBtr0308793	sm-RW
FBtr0086245	Fem-1-RA
FBtr0302035	mim-RD
FBtr0085584	Tpi-RC
FBtr0306006	Lst-RC
FBtr0072402	emp-RA
FBtr0302366	CG14184-RB
FBtr0083843	PIG-L-RB
FBtr0078008	Nnf1b-RA
FBtr0302713	CG42674-RB
FBtr0302711	CG42673-RD
FBtr0310536	Slip1-RB
FBtr0070156	RpL36-RB
FBtr0336918	CG1620-RC
FBtr0273398	pst-RE
FBtr0300558	PMCA-RM
FBtr0110872	ATPsynG-RB
FBtr0100431	Acsl-RI
FBtr0300269	heph-RU
FBtr0082555	DCAF12-RA
FBtr0075515	CG17028-RA
FBtr0303565	Sin3A-RE
FBtr0089223	PlexA-RA
FBtr0079077	CG12512-RA
FBtr0332870	CanA-14F-RD
FBtr0082865	Ipp-RA
FBtr0307295	Appl-RF
FBtr0100676	btl-RB
FBtr0084763	CG11791-RA
FBtr0344030	ctrip-RM
FBtr0082259	Irp-1B-RA
FBtr0331798	CG11309-RE
FBtr0079200	Arpc4-RA
FBtr0076651	CG6638-RA
FBtr0075428	Golgin104-RA
FBtr0070948	pigs-RA
FBtr0086340	CG8654-RA
FBtr0342801	sktl-RB
FBtr0072307	CG11414-RA
FBtr0070582	Rala-RB
FBtr0072304	CG13585-RB
FBtr0113424	CG32121-RB
FBtr0081030	Arr1-RA
FBtr0299641	corn-RC
FBtr0079106	GluRIIA-RI
FBtr0334488	Sox102F-RC
FBtr0087446	CG10205-RB
FBtr0290019	Slik-RF
FBtr0333500	Glut1-RO
FBtr0343517	Mur2B-RC
FBtr0306556	spir-RF
FBtr0086640	CG15093-RA
FBtr0078962	CG12581-RA
FBtr0340490	CG44437-RA
FBtr0300000	Nost-RE
FBtr0334074	CG8001-RD
FBtr0335476	crol-RI
FBtr0100594	Adh-RI
FBtr0100454	hth-RE
FBtr0083581	CG7675-RA
FBtr0079931	Trp1-RA
FBtr0072529	Gk1-RA
FBtr0334646	Hn-RD
FBtr0113018	CG15412-RB
FBtr0300130	CG3894-RC
FBtr0088970	so-RA
FBtr0074251	disco-r-RA
FBtr0079948	Prosalpha6-RA
FBtr0331232	crq-RD
FBtr0301698	UGP-RD
FBtr0087494	CG30197-RA
FBtr0302157	Cul3-RC
FBtr0071933	CG2852-RA
FBtr0072396	CG3829-RA
FBtr0073215	CG1299-RA
FBtr0071096	RpS14b-RA
FBtr0076656	ZC3H3-RA
FBtr0345392	CG8180-RC
FBtr0342848	CG7378-RC
FBtr0078050	Plc21C-RD
FBtr0113164	CG6024-RC
FBtr0071653	Egfr-RA
FBtr0071793	Vrp1-RA
FBtr0070706	ctp-RA
FBtr0083751	CG5835-RA
FBtr0075775	Frl-RA
FBtr0079147	Gpdh1-RC
FBtr0080242	CG31705-RA
FBtr0077953	Atg4a-RA
FBtr0083961	Syp-RF
FBtr0333544	frtz-RB
FBtr0333397	Pex10-RB
FBtr0071108	Gclc-RB
FBtr0078713	Wdr33-RA
FBtr0089747	Mlc2-RA
FBtr0304744	pps-RB
FBtr0305059	brp-RI
FBtr0078926	CG14650-RA
FBtr0086725	imd-RA
FBtr0076545	Argk-RD
FBtr0340452	CG10737-RW
FBtr0342624	CG1662-RB
FBtr0071272	Moe-RC
FBtr0081118	CG33120-RA
FBtr0081617	Mlp84B-RB
FBtr0082026	CG8129-RB
FBtr0088718	CG14767-RA
FBtr0075774	CG6833-RA
FBtr0084585	CG13607-RA
FBtr0300660	CG42516-RA
FBtr0083143	Act88F-RA
FBtr0290050	CG31028-RC
FBtr0340352	rad-RK
FBtr0079368	x16-RA
FBtr0070864	CG6067-RA
FBtr0339986	Pcf11-RG
FBtr0079040	Rtnl1-RE
FBtr0300877	CG14995-RF
FBtr0071583	Lapsyn-RA
FBtr0084691	tld-RA
FBtr0087007	Sply-RA
FBtr0334612	Nrx-1-RH
FBtr0301316	Eaat2-RC
FBtr0070216	AMPKalpha-RA
FBtr0072349	Letm1-RC
FBtr0301287	fon-RC
FBtr0079565	Rack1-RA
FBtr0072799	drpr-RB
FBtr0082443	CG18476-RA
FBtr0075898	MICAL-like-RA
FBtr0072795	Cht2-RA
FBtr0082434	Blm-RA
FBtr0089515	Atpalpha-RG
FBtr0079993	GATAd-RA
FBtr0089520	AnxB9-RD
FBtr0086285	CG8929-RA
FBtr0304051	Jabba-RF
FBtr0113387	LpR2-RF
FBtr0076493	eIF4E1-RF
FBtr0308891	CG34135-RC
FBtr0078584	Obp83cd-RA
FBtr0303908	Nckx30C-RD
FBtr0345873	Cyp317a1-RC
FBtr0076637	CG6282-RB
FBtr0070599	Crg-1-RB
FBtr0086293	Obp57b-RA
FBtr0336714	Rim-RR
FBtr0076382	LanB2-RA
FBtr0306381	CG18659-RE
FBtr0081291	CG10466-RA
FBtr0085401	CG31445-RA
FBtr0079139	CG7239-RA
FBtr0084336	Gclm-RA
FBtr0085390	CG11899-RA
FBtr0077909	Eno-RA
FBtr0089564	Zasp66-RG
FBtr0332023	Ca-alpha1D-RH
FBtr0343281	SERCA-RI
FBtr0330329	Ack-like-RA
FBtr0330324	CG43740-RC
FBtr0340635	chas-RD
FBtr0114550	pes-RC
FBtr0083509	Lgr1-RA
FBtr0071815	Gp150-RC
FBtr0071813	Gp150-RA
FBtr0071130	l(1)G0193-RB
FBtr0085082	Tsp97E-RA
FBtr0070126	SkpA-RB
FBtr0077497	Reph-RA
FBtr0343597	CG2841-RF
FBtr0110801	CG4467-RB
FBtr0075412	fax-RA
FBtr0300191	Atpalpha-RI
FBtr0340027	Spt6-RB
FBtr0080928	CG13283-RA
FBtr0083201	Fbxl7-RA
FBtr0339705	Dgkepsilon-RB
FBtr0305084	Dab-RC
FBtr0077245	Cbs-RB
FBtr0086628	CG15099-RA
FBtr0300693	CG11073-RB
FBtr0074243	CG9911-RA
FBtr0302946	CG15282-RB
FBtr0331173	roq-RB
FBtr0072694	rho-RA
FBtr0076525	teq-RD
FBtr0079253	CG9505-RA
FBtr0073005	scramb2-RA
FBtr0078154	CG3164-RB
FBtr0078156	CG4822-RA
FBtr0080686	CG15279-RA
FBtr0333702	Cadps-RF
FBtr0082845	Adgf-D-RA
FBtr0308592	Ctr1A-RB
FBtr0072745	CG12004-RA
FBtr0071666	NC2alpha-RA
FBtr0332738	RhoGEF64C-RB
FBtr0072212	SERCA-RE
FBtr0079175	eIF4A-RA
FBtr0304833	nrm-RE
FBtr0074669	Mec2-RA
FBtr0074745	Sec61gamma-RA
FBtr0075763	Hsc70-1-RD
FBtr0330163	Tsp96F-RB
FBtr0082018	pasi2-RC
FBtr0089339	Rel-RB
FBtr0305946	SLO2-RH
FBtr0300999	CG31612-RB
FBtr0080146	YL-1-RA
FBtr0305681	PK1-R-RE
FBtr0084803	dan-RA
FBtr0305339	Cks85A-RB
FBtr0086145	Hsepi-RA
FBtr0336458	srl-RE
FBtr0087009	CG30460-RB
FBtr0336452	LpR2-RI
FBtr0330254	alpha-Catr-RC
FBtr0089386	CG1354-RB
FBtr0330253	CG9410-RE
FBtr0076832	Cyp4d8-RA
FBtr0080883	her-RA
FBtr0335186	CG8475-RC
FBtr0308591	CG34449-RD
FBtr0113338	cpx-RM
FBtr0070108	CG3038-RA
FBtr0089184	mGluR-RA
FBtr0077684	Prx6005-RA
FBtr0302489	CG11768-RB
FBtr0335502	CG13116-RB
FBtr0086133	Cyp6a2-RA
FBtr0086137	l(2)01289-RB
FBtr0081281	Hasp-RC
FBtr0083334	Fas1-RC
FBtr0303508	CG17111-RB
FBtr0336809	Cdep-RE
FBtr0340387	GEFmeso-RG
FBtr0083728	ATPsynD-RA
FBtr0113135	ens-RF
FBtr0334582	Stat92E-RI
FBtr0084743	CG5805-RA
FBtr0075344	CG9674-RD
FBtr0075345	eIF3e-RA
FBtr0301821	Mnt-RD
FBtr0082118	mura-RC
FBtr0072800	CG18171-RA
FBtr0302563	kar-RB
FBtr0075151	Eip75B-RD
FBtr0082442	Taf12-RA
FBtr0077971	Tgt-RA
FBtr0080541	Sos-RA
FBtr0075184	CG7484-RB
FBtr0089274	Shaw-RA
FBtr0112860	Nc73EF-RI
FBtr0306939	CG43340-RK
FBtr0071489	ZAP3-RC
FBtr0072711	CG12084-RA
FBtr0300484	lolal-RF
FBtr0080496	CG9928-RA
FBtr0077439	Elp3-RA
FBtr0086810	CG14495-RA
FBtr0114451	CG10353-RC
FBtr0087214	Rho1-RD
FBtr0080060	CG5381-RA
FBtr0342913	noc-RB
FBtr0078944	eIF3a-RA
FBtr0075562	dop-RA
FBtr0085769	qless-RA
FBtr0089082	Eph-RA
FBtr0087217	Rho1-RG
FBtr0072436	GstE12-RA
FBtr0085488	Cad99C-RA
FBtr0346162	CG9747-RB
