#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0340615	CG32563-RB	X	+	17202538:17208538
FBtr0331457	ckd-RD	3L	+	3251878:3257878,3257946:3266403
FBtr0084762	CG11791-RB	3R	+	25043616:25049616,25049947:25051181
FBtr0081785	CG3223-RA	3R	+	8003400:8009400,8009630:8009703
FBtr0331788	CG7376-RB	3L	+	6168248:6174248,6174446:6174498
FBtr0086836	eIF3c-RA	2R	+	17659759:17665759,17665817:17666032
FBtr0079976	me31B-RB	2L	+	10233939:10239939,10240085:10240492
FBtr0086921	CG14478-RA	2R	+	17451663:17457663
FBtr0304905	tinc-RE	3R	+	17805541:17811541,17811715:17813531
FBtr0086746	CG10915-RA	2R	+	18154720:18160720,18161876:18161952
FBtr0333145	CG33181-RI	X	+	8485345:8491345,8491437:8491948
FBtr0335385	CG17261-RB	2L	+	3036551:3042551,3042739:3042836
FBtr0082070	Vps45-RA	3R	+	9557924:9563924,9564119:9564182
FBtr0330004	Mctp-RD	2R	+	18755758:18761758,18762222:18768275
FBtr0343519	eas-RI	X	+	16272357:16278357,16278616:16278694
FBtr0301323	CG34417-RI	X	+	6534771:6540771,6541328:6543093
FBtr0329975	CG34126-RE	2L	+	4975614:4981614,4982073:4983714
FBtr0305663	Skeletor-RB	3R	+	10680943:10686943,10687303:10689261
FBtr0083180	CG4576-RA	3R	+	15819747:15825747,15826179:15827101
FBtr0080235	salr-RA	2L	+	11359289:11365289,11365370:11366344
FBtr0339630	Cpr49Ac-RE	2R	+	12380960:12386960,12387096:12387382
FBtr0299530	CG6364-RB	3R	+	24284172:24290172,24290628:24290742
FBtr0083004	Sdr-RA	3R	+	14912628:14918628,14919430:14919508
FBtr0301124	tyf-RF	X	+	4113714:4119714,4119770:4120296
FBtr0086518	fest-RA	2R	+	19335809:19341809,19342372:19342568
FBtr0304700	shd-RC	3L	+	14613830:14619830,14619861:14619918
FBtr0343742	CG33301-RB	2L	+	10043580:10049580
FBtr0306624	nuf-RL	3L	+	14184873:14190873,14191592:14199945
FBtr0078056	RpLP1-RA	2L	+	413952:419952
FBtr0071313	Dsor1-RA	X	+	9241342:9247342,9247909:9248542
FBtr0083173	CG9589-RA	3R	+	15782521:15788521
FBtr0330126	sif-RK	3L	+	5685427:5691427,5691784:5695422
FBtr0336461	Doa-RAA	3R	+	28896556:28902556,28902807:28919492
FBtr0333187	CG2010-RC	3R	+	29488782:29494782,29494886:29495009
FBtr0304659	N-RB	X	+	3128870:3134870,3135828:3147975
FBtr0074504	Vps4-RA	X	+	17901692:17907692,17907852:17908574
FBtr0307297	Ste12DOR-RB	X	+	13994210:14000210,14000221:14000278
FBtr0075024	CG14075-RA	3L	+	18978961:18984961
FBtr0339364	CG44286-RB	2R	+	9134696:9140696
FBtr0077387	Mon1-RA	2L	+	4844641:4850641,4851344:4851408
FBtr0344259	Sik3-RF	2R	+	18682132:18688132,18688369:18692041
FBtr0339161	Lnk-RE	3R	+	25882542:25888542,25888892:25889655
FBtr0075144	CG14353-RA	3L	+	17902143:17908143
FBtr0089759	gem-RA	2R	+	10119496:10125496,10127578:10128581
FBtr0080760	Mtr4-RA	2L	+	15746263:15752263
FBtr0304728	mahj-RB	2R	+	21619030:21625030,21625606:21625665
FBtr0336627	brat-RE	2L	+	19127816:19133816,19134277:19145794
FBtr0300012	nompC-RD	2L	+	5340200:5346200,5347230:5348437
FBtr0091718	CG33721-RA	3R	+	22325069:22331069,22331129:22331194
FBtr0076003	Est-6-RA	3L	+	12182818:12188818
FBtr0073209	Fit1-RA	3L	+	4097564:4103564
FBtr0299526	l(1)G0196-RK	X	+	22481180:22487180,22487790:22493481
FBtr0080544	RpII33-RA	2L	+	13827337:13833337
FBtr0344651	rg-RP	X	+	5079759:5085759,5086202:5089342
FBtr0343561	Gs2-RD	X	+	11416832:11422832,11423073:11424270
FBtr0070518	dnc-RE	X	+	3289281:3295281,3295454:3321041
FBtr0339932	Sodh-1-RB	3R	+	7046527:7052527,7052650:7052708
FBtr0083815	CG11447-RA	3R	+	19855610:19861610
FBtr0344888	ppk9-RB	2R	+	21958173:21964173,21964700:21967726
FBtr0330108	unc80-RC	3R	+	27656439:27662439,27662498:27663187
FBtr0273329	CG13114-RB	2L	+	9539811:9545811
FBtr0072468	Pdk1-RC	3L	+	126733:132733,132810:135458
FBtr0329832	ex-RB	2L	+	425227:431227,431900:438380
FBtr0073299	nAChRbeta1-RA	3L	+	4423349:4429349,4429503:4429566
FBtr0344266	CG13606-RD	3R	+	24166628:24172628,24172733:24173054
FBtr0078523	CG32452-RA	3L	+	22711728:22717728
FBtr0084899	Lgr3-RA	3R	+	25659809:25665809,25665990:25666813
FBtr0100239	Frq1-RC	X	+	18149369:18155369,18155733:18161013
FBtr0112915	SNF4Agamma-RM	3R	+	21174797:21180797,21180855:21185013
FBtr0304113	Cnot4-RI	2L	+	10390716:10396716,10396983:10398035
FBtr0079488	CG7154-RA	2L	+	7776865:7782865,7783049:7783299
FBtr0331235	CG7115-RD	2L	+	7815151:7821151,7821309:7822923
FBtr0304913	mld-RD	3R	+	24579653:24585653,24585927:24590572
FBtr0073147	CG32266-RA	3L	+	3784804:3790804
FBtr0085389	CG14515-RA	3R	+	29191556:29197556
FBtr0070782	l(1)G0045-RA	X	+	5616648:5622648
FBtr0084557	cav-RD	3R	+	24215103:24221103,24221627:24222343
FBtr0075376	CG13056-RA	3L	+	16327313:16333313
FBtr0076319	CG8177-RG	3L	+	9757544:9763544,9764194:9765609
FBtr0079994	SamDC-RA	2L	+	10333457:10339457,10339619:10340152
FBtr0085248	RpL4-RA	3R	+	27916821:27922821,27922920:27923125
FBtr0344573	CG41099-RE	3R	+	3840729:3846729,3846895:3849503
FBtr0300600	Axn-RE	3R	+	30021361:30027361,30027577:30030764
FBtr0331241	Lar-RH	2L	+	19581226:19587226,19587528:19600858
FBtr0306016	Nhe2-RI	2L	+	21101781:21107781,21108228:21114594
FBtr0333821	Gnpnat-RH	3R	+	29734351:29740351,29740408:29740568
FBtr0340389	CG15073-RB	2R	+	18699977:18705977,18706201:18706255
FBtr0089973	Cenp-C-RA	3R	+	8558105:8564105,8564257:8564329
FBtr0346281	CG32642-RE	X	+	12953220:12959220,12959550:12959633
FBtr0079297	CG11070-RA	2L	+	6652517:6658517,6659319:6659379
FBtr0289974	CG14325-RB	3R	+	17621127:17627127,17627335:17627569
FBtr0303304	CG42759-RA	3R	+	10137070:10143070
FBtr0087108	CG5065-RA	2R	+	16601654:16607654,16607960:16618804
FBtr0345656	CG43187-RB	2R	+	16374516:16380516,16380750:16380847
FBtr0082287	CG4570-RA	3R	+	10850807:10856807
FBtr0346230	mey-RB	3R	+	31493391:31499391,31499593:31502207
FBtr0305059	brp-RI	2R	+	9510451:9516451,9517573:9527288
FBtr0079255	CG9507-RA	2L	+	6375266:6381266
FBtr0334126	CG44001-RC	2L	+	5039397:5045397,5045484:5045822
FBtr0079476	Myo28B1-RD	2L	+	7672719:7678719,7678921:7680608
FBtr0083441	CG33333-RA	3R	+	17411467:17417467
FBtr0342948	rdgC-RG	3L	+	20242080:20248080,20248326:20255898
FBtr0305343	CG5921-RD	X	+	6044828:6050828,6051320:6059886
FBtr0346798	Rab3-GEF-RI	X	+	15083682:15089682,15089962:15093238
FBtr0100295	CG5928-RB	X	+	6061958:6067958,6068484:6068552
FBtr0339720	CG7910-RB	3R	+	8081359:8087359,8087713:8087786
FBtr0340162	p115-RB	X	+	7888031:7894031
FBtr0112947	CG13373-RB	X	+	470984:476984,477292:477607
FBtr0332192	dpr19-RC	2L	+	10370478:10376478,10376554:10376766
FBtr0334090	Act79B-RB	3L	+	21979210:21985210
FBtr0079189	CG9147-RB	2L	+	6060087:6066087,6066207:6066270
FBtr0076001	CAH2-RA	3L	+	12173876:12179876,12180156:12181676
FBtr0071009	CG4593-RA	X	+	7007887:7013887
FBtr0080467	CG31855-RA	2L	+	13363204:13369204
FBtr0344488	CG45084-RA	2L	+	16036917:16042917,16043246:16043824
FBtr0086534	Arl6-RA	2R	+	19438179:19444179,19444395:19444444
FBtr0071860	bonsai-RA	2R	+	22631770:22637770,22638059:22638118
FBtr0334670	Fer1-RB	3R	+	7130206:7136206,7136471:7136979
FBtr0346621	Su(H)-RC	2L	+	15033488:15039488,15040321:15041095
FBtr0333032	dlp-RC	3L	+	14626601:14632601,14633383:14664296
FBtr0302586	RpL3-RG	3R	+	11215894:11221894,11221933:11222175
FBtr0111028	ps-RG	3R	+	9422561:9428561,9428653:9432032
FBtr0084450	Hmgcr-RA	3R	+	23727324:23733324,23733838:23747096
FBtr0346643	CG17290-RC	2R	+	17148589:17154589
FBtr0081481	Hr39-RD	2L	+	21231250:21237250,21237405:21238281
FBtr0080196	Wdr59-RB	2L	+	11085444:11091444,11091879:11091942
FBtr0086270	Hsl-RB	2R	+	20251650:20257650,20257753:20258187
FBtr0077531	drm-RA	2L	+	3533733:3539733,3539978:3545074
FBtr0301160	CG11307-RC	3L	+	21611623:21617623,21617691:21618354
FBtr0333820	Gnpnat-RG	3R	+	29732275:29738275,29738315:29739729
FBtr0333488	Tpr2-RE	2L	+	16485540:16491540,16492052:16497011
FBtr0072484	CG13876-RA	3L	+	200134:206134
FBtr0078184	CG13247-RA	3L	+	20364313:20370313,20370750:20370810
FBtr0310321	CG10073-RC	2R	+	19374543:19380543,19380616:19381756
FBtr0085073	CG14253-RD	3R	+	26974518:26980518,26981102:26981533
FBtr0081419	CG9331-RD	2L	+	20818434:20824434,20824494:20825659
FBtr0088040	exp-RB	2R	+	11933557:11939557,11940235:11950045
FBtr0079287	CG31637-RA	2L	+	6492647:6498647,6499820:6525368
FBtr0334123	CG44000-RF	2L	+	5037270:5043270,5043384:5044583
FBtr0289962	CG12911-RB	2R	+	10250686:10256686,10256875:10258971
FBtr0345627	eEF1beta-RC	2R	+	16862222:16868222
FBtr0344788	CG7466-RB	2L	+	8037471:8043471,8044072:8044362
FBtr0340401	CG32506-RD	X	+	20443331:20449331,20449964:20461146
FBtr0088332	CG18011-RA	2R	+	10136338:10142338,10143139:10143193
FBtr0083543	sr-RB	3R	+	18116061:18122061,18122583:18126990
FBtr0076837	CG8607-RA	3L	+	7314068:7320068,7320209:7320282
FBtr0072779	Patj-RC	3L	+	1792803:1798803,1798954:1799010
FBtr0340136	mys-RC	X	+	8055645:8061645,8061871:8063840
FBtr0088417	14-3-3zeta-RG	2R	+	10095036:10101036,10101178:10104256
FBtr0344026	CG42394-RD	3R	+	10843825:10849825,10849867:10849932
FBtr0332835	CG43897-RR	3L	+	9823422:9829422,9830070:9830634
FBtr0301440	CLIP-190-RM	2L	+	17379015:17385015,17385496:17385561
FBtr0301848	NKAIN-RG	2R	+	24875570:24881570,24881948:24882631
FBtr0306247	RanBPM-RE	2R	+	10423712:10429712,10429784:10430534
FBtr0082831	Dip-B-RA	3R	+	13776288:13782288,13782452:13782708
FBtr0080893	BuGZ-RA	2L	+	16737405:16743405,16743571:16743760
FBtr0070481	CG2694-RA	X	+	2708079:2714079,2714211:2714288
FBtr0113425	stv-RE	3L	+	13471541:13477541,13478483:13481036
FBtr0300456	Cyp4ac2-RB	2L	+	5260392:5266392,5266637:5266695
FBtr0337004	CG6094-RB	2L	+	10501081:10507081
FBtr0303386	Msp300-RF	2L	+	5140386:5146386,5146704:5146993
FBtr0086168	CheB42a-RA	2R	+	6943482:6949482,6949754:6949804
FBtr0110978	Mnn1-RC	2L	+	7050301:7056301,7057157:7057224
FBtr0302356	CG14439-RB	X	+	6741544:6747544,6748041:6753762
FBtr0339535	qkr58E-2-RB	2R	+	22409809:22415809,22416367:22416428
FBtr0445310	spas-RE	3R	+	24032215:24038215,24039263:24039595
FBtr0074095	Rhp-RA	X	+	15782897:15788897,15788958:15790247
FBtr0113701	rl-RA	2R	+	1065975:1071975,1072440:1076635
FBtr0072659	tfc-RB	3L	+	1250449:1256449,1257361:1261566
FBtr0333415	CG13091-RB	2L	+	8513690:8519690,8519793:8519869
FBtr0081136	CG15169-RA	2L	+	18985020:18991020
FBtr0100839	Hers-RD	X	+	19881353:19887353,19887493:19899012
FBtr0113401	CG31269-RB	3R	+	17121126:17127126
FBtr0345745	dhd-RB	X	+	5306171:5312171
FBtr0345704	CG42594-RD	X	+	4834833:4840833,4841441:4869496
FBtr0308627	scrib-RK	3R	+	26530350:26536350,26536593:26537371
FBtr0303469	CG13384-RJ	2L	+	8378455:8384455,8384541:8384700
FBtr0300433	CG14411-RD	X	+	14826647:14832647
FBtr0070261	br-RC	X	+	1604512:1610512,1610687:1624138
FBtr0074272	CG4301-RA	X	+	16402309:16408309,16409210:16409783
FBtr0085935	ttm3-RA	2L	+	22073632:22079632
FBtr0082967	Hexim-RA	3R	+	14653438:14659438,14659583:14659744
FBtr0079989	CG4995-RB	2L	+	10316476:10322476,10322597:10322708
FBtr0290307	CG42239-RA	2R	+	17566829:17572829
FBtr0086510	wbl-RA	2R	+	19243761:19249761
FBtr0079599	Mettl14-RA	2L	+	8302427:8308427,8308610:8308682
FBtr0334064	Pura-RD	3L	+	7591230:7597230,7597404:7602788
FBtr0346961	RanBPM-RG	2R	+	10423708:10429708,10429784:10430534
FBtr0072653	CG9129-RA	3L	+	1244696:1250696
FBtr0072063	ItgaPS5-RA	2R	+	23550672:23556672,23556926:23557024
FBtr0302986	CG31861-RA	2L	+	12155767:12161767
FBtr0340137	mys-RD	X	+	8055645:8061645,8062081:8063840
FBtr0339961	cg-RL	2R	+	14167693:14173693,14174573:14176406
FBtr0290115	CG8740-RD	2R	+	8729810:8735810,8736409:8745821
FBtr0074390	CG32564-RA	X	+	17200407:17206407
FBtr0302181	RhoGAP100F-RD	3R	+	31806609:31812609,31813827:31817819
FBtr0080502	Tehao-RA	2L	+	13429622:13435622
FBtr0344065	CG18672-RD	3R	+	31254247:31260247,31260474:31260670
FBtr0301684	CG13137-RB	2L	+	10166702:10172702
FBtr0305335	CG18672-RB	3R	+	31254247:31260247,31260474:31260670
FBtr0301892	RIC-3-RH	2R	+	21011784:21017784,21017953:21019159
FBtr0310341	CrebB-RO	X	+	18360561:18366561,18366720:18367004
FBtr0343741	Trp1-RD	2L	+	10003381:10009381,10009537:10010737
FBtr0333329	comt-RB	X	+	13253021:13259021,13259255:13259336
FBtr0080462	CG31729-RA	2L	+	13290348:13296348,13296746:13297619
FBtr0342669	CG44623-RA	2R	+	19950195:19956195,19956382:19956446
FBtr0100606	psq-RJ	2R	+	10577686:10583686,10584124:10610550
FBtr0300349	CG14142-RD	3L	+	11167514:11173514,11173632:11173695
FBtr0078006	Gr21a-RA	2L	+	774482:780482,782049:782124
FBtr0433510	pre-mod(mdg4)-W-RB	3R	+	21359609:21365609,21366339:21366450
FBtr0086753	CG30114-RA	2R	+	18201755:18207755
FBtr0333717	shi-RN	X	+	15886200:15892200,15892252:15892828
FBtr0334092	RhoGAP68F-RD	3L	+	12132952:12138952,12139102:12139963
FBtr0072158	Sox14-RB	2R	+	23973895:23979895
FBtr0077627	CG2991-RC	2L	+	2856537:2862537,2862841:2864969
FBtr0085559	CG7943-RB	3R	+	30040470:30046470,30047644:30047707
FBtr0300651	CG42512-RA	X	+	16645376:16651376,16651531:16651587
FBtr0344525	CG7071-RC	3R	+	22356620:22362620,22362947:22363007
FBtr0329932	Sema1a-RI	2L	+	8537330:8543330,8543716:8544544
FBtr0113064	CG7220-RE	2R	+	10726699:10732699,10732797:10735820
FBtr0309862	nsl1-RN	3R	+	15787782:15793782,15793954:15794829
FBtr0337087	beat-Vb-RB	3R	+	12910056:12916056,12916144:12918444
FBtr0079103	CG18269-RA	2L	+	5545838:5551838
FBtr0346197	CG45544-RA	3R	+	29250485:29256485
FBtr0332631	CG17493-RC	2L	+	22544240:22550240
FBtr0074508	CG15373-RA	X	+	18038071:18044071,18044166:18044285
FBtr0080914	CG13272-RA	2L	+	16801316:16807316,16807780:16811598
FBtr0330019	Ggamma30A-RH	2L	+	9250563:9256563,9256697:9272466
FBtr0077465	ed-RA	2L	+	4025377:4031377,4031556:4032423
FBtr0074948	ms(3)76Cc-RA	3L	+	19614502:19620502
FBtr0081160	brat-RC	2L	+	19152540:19158540,19158690:19166085
FBtr0346343	Nlg4-RE	3R	+	20198809:20204809,20204979:20206198
FBtr0077088	mthl2-RB	3L	+	5598790:5604790,5605407:5605470
FBtr0309371	Spn42De-RB	2R	+	6879552:6885552,6885660:6886514
FBtr0347159	tutl-RK	2L	+	4277148:4283148,4283253:4284759
FBtr0078185	RhoBTB-RA	3L	+	20370242:20376242,20376602:20378431
FBtr0332193	gny-RB	2L	+	10374103:10380103,10380814:10380913
FBtr0329983	CG4230-RC	2L	+	5090371:5096371,5096701:5097036
FBtr0342919	CG17321-RB	2L	+	18839184:18845184,18845922:18852954
FBtr0084688	Rpb10-RA	3R	+	24711511:24717511
FBtr0084990	CG12290-RA	3R	+	26224248:26230248
FBtr0074549	Him-RA	X	+	18203427:18209427
FBtr0342765	Mct1-RB	X	+	2183188:2189188,2189430:2198632
FBtr0083000	UQCR-C1-RA	3R	+	14884231:14890231,14890427:14890696
FBtr0301283	Cyp12e1-RC	3R	+	10428789:10434789,10434878:10434935
FBtr0100673	sau-RD	2L	+	2220342:2226342,2227282:2229266
FBtr0321261	CG5986-RB	3R	+	24042298:24048298
FBtr0329839	sick-RG	2L	+	19929253:19935253,19935528:19945169
FBtr0079192	Kr-h2-RA	2L	+	6064990:6070990,6071188:6072414
FBtr0083728	ATPsynD-RA	3R	+	19089000:19095000
FBtr0302643	Pka-R1-RAC	3L	+	20810118:20816118,20816172:20816567
FBtr0113750	scro-RB	3L	+	24718162:24724162,24724431:24725824
FBtr0290142	CG33234-RD	3L	+	2655622:2661622,2661706:2661761
FBtr0335227	CG2698-RH	3R	+	7995562:8001562,8001796:8001895
FBtr0088279	psq-RF	2R	+	10563222:10569222,10569379:10569807
FBtr0299965	CG42366-RA	2L	+	9919161:9925161,9925283:9926568
FBtr0084687	CG13627-RB	3R	+	24708784:24714784,24714984:24715050
FBtr0340047	CG17167-RE	X	+	23062301:23068301,23068677:23073104
FBtr0300422	CG30447-RB	2R	+	19941196:19947196
FBtr0079589	CG8419-RA	2L	+	8200171:8206171,8207470:8207527
FBtr0079755	Tsp29Fb-RB	2L	+	8931390:8937390,8937406:8937520
FBtr0334532	Rpn2-RC	3R	+	29147524:29153524,29154674:29154736
FBtr0333696	CG32195-RB	3L	+	18106959:18112959,18113182:18114369
FBtr0336811	Cdep-RF	3R	+	4904552:4910552,4911086:4917397
FBtr0310115	Sps2-RC	2L	+	10336702:10342702,10342916:10342976
FBtr0304730	CG14589-RB	2R	+	6131303:6137303,6137700:6137989
FBtr0343555	CG44838-RD	3L	+	9455050:9461050,9461297:9461888
FBtr0081245	swm-RB	2L	+	19487568:19493568,19493958:19494033
FBtr0087842	Iswi-RB	2R	+	12630671:12636671,12636738:12636844
FBtr0079567	Bsg-RA	2L	+	8077420:8083420,8083637:8089394
FBtr0340293	Spase25-RB	X	+	11479250:11485250
FBtr0334465	bif-RF	X	+	11672970:11678970,11679290:11680844
FBtr0086833	Smurf-RA	2R	+	17586791:17592791,17593313:17593468
FBtr0086079	Atf6-RA	2R	+	5138733:5144733,5144859:5148175
FBtr0079010	His3.3A-RA	2L	+	5049058:5055058
FBtr0307350	Arr1-RB	2L	+	18072269:18078269,18078497:18078916
FBtr0080832	Syx5-RA	2L	+	16301346:16307346
FBtr0299840	Dscam4-RE	3L	+	8235131:8241131,8241195:8248732
FBtr0081540	alpha-Est2-RA	3R	+	7536745:7542745,7542897:7543037
FBtr0307493	Mhc-RR	2L	+	16760734:16766734,16766757:16768584
FBtr0333740	CG12061-RF	X	+	23030066:23036066,23036191:23044001
FBtr0273400	CG14797-RB	X	+	1677247:1683247,1683267:1683321
FBtr0332711	CG7519-RB	3L	+	21487083:21493083,21493197:21493248
FBtr0100245	pan-RH	4	+	63326:69326,69982:72321
FBtr0073063	CG12016-RA	3L	+	3313555:3319555
FBtr0333487	Tpr2-RD	2L	+	16485540:16491540,16492052:16505496
FBtr0084607	Ms-RA	3R	+	24335551:24341551,24341681:24342828
FBtr0086329	CG8517-RA	2R	+	19708076:19714076
FBtr0343871	Acon-RE	2L	+	21162651:21168651,21168805:21170191
FBtr0332194	mRpS7-RB	2L	+	10380662:10386662
FBtr0332816	CG43896-RB	3L	+	11970111:11976111,11976171:11976230
FBtr0078068	Sf3b1-RA	2L	+	562340:568340,568434:568599
FBtr0344887	CG34231-RC	2R	+	11980008:11986008,11986164:11986263
FBtr0321272	CG15172-RD	2L	+	19017018:19023018
FBtr0339956	mam-RD	2R	+	14003199:14009199,14009533:14010163
FBtr0080889	Cyt-c-p-RA	2L	+	16713932:16719932
FBtr0302545	akirin-RE	3L	+	7363843:7369843,7370069:7371732
FBtr0343571	hang-RD	X	+	16416831:16422831,16423628:16429060
FBtr0082628	Desat1-RE	3R	+	12436101:12442101,12442220:12444799
FBtr0112680	Tlk-RB	X	+	3741163:3747163,3747412:3749041
FBtr0321319	Atg18a-RD	3L	+	8180995:8186995,8187194:8187479
FBtr0084442	CG31413-RA	3R	+	23696761:23702761
FBtr0079834	CG3838-RA	2L	+	9562890:9568890,9569199:9571477
FBtr0332657	CG32260-RC	3L	+	4136364:4142364,4142395:4143970
FBtr0302488	CG10738-RD	3L	+	13444770:13450770,13451575:13459973
FBtr0085114	CG5909-RA	3R	+	27155158:27161158,27161399:27161455
FBtr0071870	Obp59a-RB	2R	+	22696695:22702695
FBtr0072308	uri-RA	2R	+	24559554:24565554,24565616:24565686
FBtr0089967	Tm1-RJ	3R	+	15275550:15281550,15281599:15284613
FBtr0089085	Eph-RD	4	+	604684:610684,610897:611285
FBtr0346139	CG11970-RB	3R	+	8978718:8984718,8986303:8986491
FBtr0080884	grp-RB	2L	+	16674054:16680054,16680277:16690902
FBtr0075871	CG10749-RA	3L	+	12966474:12972474
FBtr0073218	CG18675-RA	3L	+	4167884:4173884,4174328:4174394
FBtr0074903	Tom20-RA	3L	+	19995088:20001088,20001297:20001361
FBtr0329948	CG16743-RB	2L	+	10966280:10972280
FBtr0070944	CG17717-RA	X	+	6583290:6589290,6589833:6590033
FBtr0307902	CoRest-RI	X	+	19516099:19522099,19522570:19523003
FBtr0072841	Mfap1-RA	3L	+	1935068:1941068,1941255:1941316
FBtr0305043	mask-RC	3R	+	24224562:24230562,24230649:24231655
FBtr0304903	Taf1-RE	3R	+	6640889:6646889,6647172:6647294
FBtr0074947	asf1-RA	3L	+	19612894:19618894
FBtr0301185	CG7255-RE	3L	+	15298255:15304255,15304877:15305298
FBtr0086709	Sec6-RA	2R	+	18619249:18625249
FBtr0080113	CG12299-RA	2L	+	10731345:10737345
FBtr0310020	haf-RE	2L	+	1549129:1555129,1555754:1556324
FBtr0080276	Mal-B2-RA	2L	+	11843958:11849958,11850049:11850390
FBtr0074104	CG8578-RA	X	+	15838476:15844476,15844532:15845327
FBtr0080821	CG31819-RA	2L	+	16205459:16211459,16212059:16212118
FBtr0083542	sr-RA	3R	+	18084803:18090803,18091455:18095730
FBtr0331460	CG7970-RB	3L	+	1647005:1653005,1653044:1653131
FBtr0472698	CG46339-RD	3R	+	26909761:26915761,26915909:26916503
FBtr0306938	CG43340-RJ	2R	+	7617242:7623242,7623294:7626491
FBtr0085247	mRpS22-RA	3R	+	27910908:27916908
FBtr0344289	CG7443-RB	3R	+	8318316:8324316,8324434:8324486
FBtr0072057	CG13559-RA	2R	+	23496946:23502946
FBtr0342954	CG15674-RB	2R	+	21626196:21632196,21632475:21632965
