#transcriptID	transcriptSymbol
FBtr0113477	CG6006-RC
FBtr0306351	Mvl-RG
FBtr0086137	l(2)01289-RB
FBtr0079682	PIG-U-RA
FBtr0070439	egh-RC
FBtr0333598	ClC-c-RD
FBtr0072799	drpr-RB
FBtr0306031	CG9270-RC
FBtr0084763	CG11791-RA
FBtr0084361	CG17121-RA
FBtr0077459	CG15431-RA
FBtr0340309	Lrp4-RD
FBtr0339750	Ucp4A-RC
FBtr0343365	CG9413-RC
FBtr0089972	Gat-RA
FBtr0336809	Cdep-RE
FBtr0334409	dpr7-RG
FBtr0087731	Spt-I-RC
FBtr0072396	CG3829-RA
FBtr0080932	Cyt-b5-r-RA
FBtr0076027	yps-RA
FBtr0083728	ATPsynD-RA
FBtr0079106	GluRIIA-RI
FBtr0332600	Tsp26A-RD
FBtr0100431	Acsl-RI
FBtr0113387	LpR2-RF
FBtr0076905	CG14823-RA
FBtr0308892	CG40498-RG
FBtr0308891	CG34135-RC
FBtr0309101	Nha2-RB
FBtr0076908	CG14823-RD
FBtr0339696	dtn-RD
FBtr0088306	trsn-RA
FBtr0084743	CG5805-RA
FBtr0335515	koi-RD
FBtr0303908	Nckx30C-RD
FBtr0345873	Cyp317a1-RC
FBtr0070592	CG10804-RB
FBtr0333500	Glut1-RO
FBtr0346437	Rab6-RB
FBtr0112645	CG34396-RD
FBtr0073767	Syt12-RA
FBtr0076637	CG6282-RB
FBtr0332219	Syt1-RF
FBtr0078183	in-RA
FBtr0084585	CG13607-RA
FBtr0070887	CG4666-RA
FBtr0090019	MRP-RG
FBtr0083739	Dl-RA
FBtr0335166	Cyp309a1-RB
FBtr0301662	trpl-RD
FBtr0339769	CG15890-RB
FBtr0302453	ReepB-RD
FBtr0083731	Cyp12a4-RA
FBtr0076662	CG32354-RA
FBtr0304051	Jabba-RF
FBtr0332979	CG18869-RB
FBtr0070108	CG3038-RA
FBtr0086633	CG15096-RB
FBtr0075391	st-RA
FBtr0081146	CG10470-RA
FBtr0084322	CG17141-RA
FBtr0076210	CG7638-RA
FBtr0088495	CG1688-RA
FBtr0089274	Shaw-RA
FBtr0084536	CG5991-RA
FBtr0333325	Atpalpha-RK
FBtr0082018	pasi2-RC
FBtr0306939	CG43340-RK
FBtr0332023	Ca-alpha1D-RH
FBtr0301438	NaPi-III-RA
FBtr0343281	SERCA-RI
FBtr0084739	lili-RA
FBtr0073421	sesB-RA
FBtr0075233	blot-RB
FBtr0088601	Pkn-RB
FBtr0072402	emp-RA
FBtr0307295	Appl-RF
FBtr0088690	Cyp6a13-RA
FBtr0346155	ATPsynD-RC
FBtr0301639	stmA-RC
FBtr0070960	CG14439-RA
FBtr0114550	pes-RC
FBtr0078440	CG7407-RA
FBtr0083509	Lgr1-RA
FBtr0303508	CG17111-RB
FBtr0307555	Nep3-RC
FBtr0090003	Ca-alpha1D-RD
FBtr0085679	CG9717-RA
FBtr0342886	CG42672-RK
FBtr0331798	CG11309-RE
FBtr0077745	ND-B17.2-RA
FBtr0073678	Tomosyn-RC
FBtr0071815	Gp150-RC
FBtr0071813	Gp150-RA
FBtr0304688	CG42613-RH
FBtr0112741	ND-MWFE-RB
FBtr0083581	CG7675-RA
FBtr0110801	CG4467-RB
FBtr0089184	mGluR-RA
FBtr0086340	CG8654-RA
FBtr0074383	CG16700-RA
FBtr0072212	SERCA-RE
FBtr0085082	Tsp97E-RA
FBtr0075941	CG10960-RC
FBtr0075942	CG10960-RB
FBtr0070874	Efr-RA
FBtr0345078	ReepA-RR
FBtr0078423	ORMDL-RA
FBtr0085488	Cad99C-RA
FBtr0343412	l(1)G0320-RB
FBtr0087214	Rho1-RD
FBtr0087217	Rho1-RG
FBtr0076832	Cyp4d8-RA
FBtr0331232	crq-RD
FBtr0334171	Nhe2-RJ
FBtr0346162	CG9747-RB
